landtype,spp,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
432,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
432,ABIE.BAL,2,0,0.349,0.5,2.031,2
432,ABIE.BAL,3,0,0.225,0.144,1.154,2
432,ABIE.BAL,4,0,0.23,0.144,2.029,2
432,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
432,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
432,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
432,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
432,ABIE.BAL,9,0,0.047,0.072,2.309,2
432,ABIE.BAL,10,0,0.01,0.01,2,2
433,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
433,ABIE.BAL,2,0,0.349,0.5,2.031,2
433,ABIE.BAL,3,0,0.225,0.144,1.154,2
433,ABIE.BAL,4,0,0.23,0.144,2.029,2
433,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
433,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
433,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
433,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
433,ABIE.BAL,9,0,0.047,0.072,2.309,2
433,ABIE.BAL,10,0,0.01,0.01,2,2
434,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
434,ABIE.BAL,2,0,0.349,0.5,2.031,2
434,ABIE.BAL,3,0,0.225,0.144,1.154,2
434,ABIE.BAL,4,0,0.23,0.144,2.029,2
434,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
434,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
434,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
434,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
434,ABIE.BAL,9,0,0.047,0.072,2.309,2
434,ABIE.BAL,10,0,0.01,0.01,2,2
435,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
435,ABIE.BAL,2,0,0.349,0.5,2.031,2
435,ABIE.BAL,3,0,0.225,0.144,1.154,2
435,ABIE.BAL,4,0,0.23,0.144,2.029,2
435,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
435,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
435,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
435,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
435,ABIE.BAL,9,0,0.047,0.072,2.309,2
435,ABIE.BAL,10,0,0.01,0.01,2,2
436,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
436,ABIE.BAL,2,0,0.349,0.5,2.031,2
436,ABIE.BAL,3,0,0.225,0.144,1.154,2
436,ABIE.BAL,4,0,0.23,0.144,2.029,2
436,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
436,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
436,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
436,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
436,ABIE.BAL,9,0,0.047,0.072,2.309,2
436,ABIE.BAL,10,0,0.01,0.01,2,2
437,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
437,ABIE.BAL,2,0,0.349,0.5,2.031,2
437,ABIE.BAL,3,0,0.225,0.144,1.154,2
437,ABIE.BAL,4,0,0.23,0.144,2.029,2
437,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
437,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
437,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
437,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
437,ABIE.BAL,9,0,0.047,0.072,2.309,2
437,ABIE.BAL,10,0,0.01,0.01,2,2
438,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
438,ABIE.BAL,2,0,0.349,0.5,2.031,2
438,ABIE.BAL,3,0,0.225,0.144,1.154,2
438,ABIE.BAL,4,0,0.23,0.144,2.029,2
438,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
438,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
438,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
438,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
438,ABIE.BAL,9,0,0.047,0.072,2.309,2
438,ABIE.BAL,10,0,0.01,0.01,2,2
439,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
439,ABIE.BAL,2,0,0.349,0.5,2.031,2
439,ABIE.BAL,3,0,0.225,0.144,1.154,2
439,ABIE.BAL,4,0,0.23,0.144,2.029,2
439,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
439,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
439,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
439,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
439,ABIE.BAL,9,0,0.047,0.072,2.309,2
439,ABIE.BAL,10,0,0.01,0.01,2,2
440,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
440,ABIE.BAL,2,0,0.349,0.5,2.031,2
440,ABIE.BAL,3,0,0.225,0.144,1.154,2
440,ABIE.BAL,4,0,0.23,0.144,2.029,2
440,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
440,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
440,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
440,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
440,ABIE.BAL,9,0,0.047,0.072,2.309,2
440,ABIE.BAL,10,0,0.01,0.01,2,2
441,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
441,ABIE.BAL,2,0,0.349,0.5,2.031,2
441,ABIE.BAL,3,0,0.225,0.144,1.154,2
441,ABIE.BAL,4,0,0.23,0.144,2.029,2
441,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
441,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
441,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
441,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
441,ABIE.BAL,9,0,0.047,0.072,2.309,2
441,ABIE.BAL,10,0,0.01,0.01,2,2
443,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
443,ABIE.BAL,2,0,0.349,0.5,2.031,2
443,ABIE.BAL,3,0,0.225,0.144,1.154,2
443,ABIE.BAL,4,0,0.23,0.144,2.029,2
