"landtype","spp","poolID","amountAtT0"
"53","ABIE.BAL","1",56
"53","ABIE.BAL","2",5
"53","ABIE.BAL","3",99
"53","ABIE.BAL","4",7
"53","ABIE.BAL","5",155
"53","ABIE.BAL","6",470
"53","ABIE.BAL","7",1012
"53","ABIE.BAL","8",78
"53","ABIE.BAL","9",35
"53","ABIE.BAL","10",0
"54","ABIE.BAL","1",51
"54","ABIE.BAL","2",4
"54","ABIE.BAL","3",96
"54","ABIE.BAL","4",6
"54","ABIE.BAL","5",148
"54","ABIE.BAL","6",474
"54","ABIE.BAL","7",1011
"54","ABIE.BAL","8",72
"54","ABIE.BAL","9",32
"54","ABIE.BAL","10",0
"59","ABIE.BAL","1",64
"59","ABIE.BAL","2",8
"59","ABIE.BAL","3",121
"59","ABIE.BAL","4",10
"59","ABIE.BAL","5",189
"59","ABIE.BAL","6",619
"59","ABIE.BAL","7",1370
"59","ABIE.BAL","8",83
"59","ABIE.BAL","9",40
"59","ABIE.BAL","10",0
"60","ABIE.BAL","1",228
"60","ABIE.BAL","2",14
"60","ABIE.BAL","3",430
"60","ABIE.BAL","4",24
"60","ABIE.BAL","5",343
"60","ABIE.BAL","6",1751
"60","ABIE.BAL","7",3534
"60","ABIE.BAL","8",178
"60","ABIE.BAL","9",181
"60","ABIE.BAL","10",0
"63","ABIE.BAL","1",1
"63","ABIE.BAL","2",0
"63","ABIE.BAL","3",7
"63","ABIE.BAL","4",1
"63","ABIE.BAL","5",20
"63","ABIE.BAL","6",67
"63","ABIE.BAL","7",180
"63","ABIE.BAL","8",4
"63","ABIE.BAL","9",1
"63","ABIE.BAL","10",0
"71","ABIE.BAL","1",119
"71","ABIE.BAL","2",11
"71","ABIE.BAL","3",208
"71","ABIE.BAL","4",14
"71","ABIE.BAL","5",305
"71","ABIE.BAL","6",956
"71","ABIE.BAL","7",2012
"71","ABIE.BAL","8",161
"71","ABIE.BAL","9",75
"71","ABIE.BAL","10",0
"118","ABIE.BAL","1",155
"118","ABIE.BAL","2",10
"118","ABIE.BAL","3",298
"118","ABIE.BAL","4",17
"118","ABIE.BAL","5",164
"118","ABIE.BAL","6",1213
"118","ABIE.BAL","7",2431
"118","ABIE.BAL","8",73
"118","ABIE.BAL","9",125
"118","ABIE.BAL","10",0
"119","ABIE.BAL","1",66
"119","ABIE.BAL","2",7
"119","ABIE.BAL","3",138
"119","ABIE.BAL","4",9
"119","ABIE.BAL","5",108
"119","ABIE.BAL","6",563
"119","ABIE.BAL","7",1207
"119","ABIE.BAL","8",46
"119","ABIE.BAL","9",54
"119","ABIE.BAL","10",0
"120","ABIE.BAL","1",88
"120","ABIE.BAL","2",6
"120","ABIE.BAL","3",157
"120","ABIE.BAL","4",13
"120","ABIE.BAL","5",63
"120","ABIE.BAL","6",605
"120","ABIE.BAL","7",1258
"120","ABIE.BAL","8",24
"120","ABIE.BAL","9",76
"120","ABIE.BAL","10",0
"121","ABIE.BAL","1",61
"121","ABIE.BAL","2",6
"121","ABIE.BAL","3",118
"121","ABIE.BAL","4",12
"121","ABIE.BAL","5",118
"121","ABIE.BAL","6",554
"121","ABIE.BAL","7",1198
"121","ABIE.BAL","8",46
"121","ABIE.BAL","9",42
"121","ABIE.BAL","10",0
"125","ABIE.BAL","1",118
"125","ABIE.BAL","2",10
"125","ABIE.BAL","3",197
"125","ABIE.BAL","4",22
"125","ABIE.BAL","5",123
"125","ABIE.BAL","6",868
"125","ABIE.BAL","7",1813
"125","ABIE.BAL","8",51
"125","ABIE.BAL","9",78
"125","ABIE.BAL","10",0
"129","ABIE.BAL","1",181
"129","ABIE.BAL","2",9
"129","ABIE.BAL","3",299
"129","ABIE.BAL","4",18
"129","ABIE.BAL","5",50
"129","ABIE.BAL","6",1048
"129","ABIE.BAL","7",2132
"129","ABIE.BAL","8",15
"129","ABIE.BAL","9",171
"129","ABIE.BAL","10",0
"53","ACER.RUB","1",0
"53","ACER.RUB","2",0
"53","ACER.RUB","3",0
"53","ACER.RUB","4",0
"53","ACER.RUB","5",2
"53","ACER.RUB","6",5
"53","ACER.RUB","7",12
"53","ACER.RUB","8",0
"53","ACER.RUB","9",0
"53","ACER.RUB","10",0
"54","ACER.RUB","1",0
"54","ACER.RUB","2",0
"54","ACER.RUB","3",1
"54","ACER.RUB","4",0
"54","ACER.RUB","5",4
"54","ACER.RUB","6",8
"54","ACER.RUB","7",21
"54","ACER.RUB","8",1
"54","ACER.RUB","9",0
"54","ACER.RUB","10",0
"59","ACER.RUB","1",3
"59","ACER.RUB","2",0
"59","ACER.RUB","3",12
"59","ACER.RUB","4",1
"59","ACER.RUB","5",6
"59","ACER.RUB","6",44
"59","ACER.RUB","7",91
"59","ACER.RUB","8",2
"59","ACER.RUB","9",3
"59","ACER.RUB","10",0
"60","ACER.RUB","1",62
"60","ACER.RUB","2",4
"60","ACER.RUB","3",170
"60","ACER.RUB","4",13
"60","ACER.RUB","5",349
"60","ACER.RUB","6",823
"60","ACER.RUB","7",1704
"60","ACER.RUB","8",168
"60","ACER.RUB","9",48
"60","ACER.RUB","10",0
"63","ACER.RUB","1",0
"63","ACER.RUB","2",0
"63","ACER.RUB","3",0
"63","ACER.RUB","4",0
"63","ACER.RUB","5",0
"63","ACER.RUB","6",0
"63","ACER.RUB","7",0
"63","ACER.RUB","8",0
"63","ACER.RUB","9",0
"63","ACER.RUB","10",0
"71","ACER.RUB","1",0
"71","ACER.RUB","2",0
"71","ACER.RUB","3",0
"71","ACER.RUB","4",0
"71","ACER.RUB","5",0
"71","ACER.RUB","6",0
"71","ACER.RUB","7",0
"71","ACER.RUB","8",0
"71","ACER.RUB","9",0
"71","ACER.RUB","10",0
"118","ACER.RUB","1",3
"118","ACER.RUB","2",0
"118","ACER.RUB","3",33
"118","ACER.RUB","4",3
"118","ACER.RUB","5",93
"118","ACER.RUB","6",225
"118","ACER.RUB","7",524
"118","ACER.RUB","8",29
"118","ACER.RUB","9",3
"118","ACER.RUB","10",0
"119","ACER.RUB","1",0
"119","ACER.RUB","2",0
"119","ACER.RUB","3",0
"119","ACER.RUB","4",0
"119","ACER.RUB","5",0
"119","ACER.RUB","6",0
"119","ACER.RUB","7",0
"119","ACER.RUB","8",0
"119","ACER.RUB","9",0
"119","ACER.RUB","10",0
"120","ACER.RUB","1",0
"120","ACER.RUB","2",0
"120","ACER.RUB","3",0
"120","ACER.RUB","4",0
"120","ACER.RUB","5",0
"120","ACER.RUB","6",0
"120","ACER.RUB","7",0
"120","ACER.RUB","8",0
"120","ACER.RUB","9",0
"120","ACER.RUB","10",0
"121","ACER.RUB","1",54
"121","ACER.RUB","2",3
"121","ACER.RUB","3",118
"121","ACER.RUB","4",11
"121","ACER.RUB","5",190
"121","ACER.RUB","6",535
"121","ACER.RUB","7",1115
"121","ACER.RUB","8",84
"121","ACER.RUB","9",47
"121","ACER.RUB","10",0
"125","ACER.RUB","1",64
"125","ACER.RUB","2",3
"125","ACER.RUB","3",126
"125","ACER.RUB","4",15
"125","ACER.RUB","5",391
"125","ACER.RUB","6",709
"125","ACER.RUB","7",1477
"125","ACER.RUB","8",162
"125","ACER.RUB","9",45
"125","ACER.RUB","10",0
"129","ACER.RUB","1",0
"129","ACER.RUB","2",0
"129","ACER.RUB","3",0
"129","ACER.RUB","4",0
"129","ACER.RUB","5",0
"129","ACER.RUB","6",0
"129","ACER.RUB","7",0
"129","ACER.RUB","8",0
"129","ACER.RUB","9",0
"129","ACER.RUB","10",0
"53","ACER.SAH","1",0
"53","ACER.SAH","2",0
"53","ACER.SAH","3",0
"53","ACER.SAH","4",0
"53","ACER.SAH","5",25
"53","ACER.SAH","6",34
"53","ACER.SAH","7",105
"53","ACER.SAH","8",2
"53","ACER.SAH","9",0
"53","ACER.SAH","10",0
"54","ACER.SAH","1",0
"54","ACER.SAH","2",0
"54","ACER.SAH","3",0
"54","ACER.SAH","4",0
"54","ACER.SAH","5",45
"54","ACER.SAH","6",55
"54","ACER.SAH","7",151
"54","ACER.SAH","8",6
"54","ACER.SAH","9",0
"54","ACER.SAH","10",0
"59","ACER.SAH","1",0
"59","ACER.SAH","2",0
"59","ACER.SAH","3",0
"59","ACER.SAH","4",0
"59","ACER.SAH","5",46
"59","ACER.SAH","6",78
"59","ACER.SAH","7",266
"59","ACER.SAH","8",2
"59","ACER.SAH","9",0
"59","ACER.SAH","10",0
"60","ACER.SAH","1",105
"60","ACER.SAH","2",1
"60","ACER.SAH","3",428
"60","ACER.SAH","4",20
"60","ACER.SAH","5",989
