"landtype","spp","poolID","amountAtT0"
"90","ABIE.BAL","1",109
"90","ABIE.BAL","2",6
"90","ABIE.BAL","3",172
"90","ABIE.BAL","4",17
"90","ABIE.BAL","5",401
"90","ABIE.BAL","6",1078
"90","ABIE.BAL","7",2171
"90","ABIE.BAL","8",227
"90","ABIE.BAL","9",64
"90","ABIE.BAL","10",0
"91","ABIE.BAL","1",111
"91","ABIE.BAL","2",6
"91","ABIE.BAL","3",170
"91","ABIE.BAL","4",19
"91","ABIE.BAL","5",404
"91","ABIE.BAL","6",1061
"91","ABIE.BAL","7",2161
"91","ABIE.BAL","8",226
"91","ABIE.BAL","9",62
"91","ABIE.BAL","10",0
"92","ABIE.BAL","1",199
"92","ABIE.BAL","2",8
"92","ABIE.BAL","3",330
"92","ABIE.BAL","4",26
"92","ABIE.BAL","5",555
"92","ABIE.BAL","6",1853
"92","ABIE.BAL","7",3585
"92","ABIE.BAL","8",329
"92","ABIE.BAL","9",129
"92","ABIE.BAL","10",0
"93","ABIE.BAL","1",85
"93","ABIE.BAL","2",6
"93","ABIE.BAL","3",136
"93","ABIE.BAL","4",19
"93","ABIE.BAL","5",292
"93","ABIE.BAL","6",803
"93","ABIE.BAL","7",1684
"93","ABIE.BAL","8",158
"93","ABIE.BAL","9",46
"93","ABIE.BAL","10",0
"94","ABIE.BAL","1",113
"94","ABIE.BAL","2",6
"94","ABIE.BAL","3",197
"94","ABIE.BAL","4",21
"94","ABIE.BAL","5",456
"94","ABIE.BAL","6",1213
"94","ABIE.BAL","7",2463
"94","ABIE.BAL","8",242
"94","ABIE.BAL","9",71
"94","ABIE.BAL","10",0
"95","ABIE.BAL","1",98
"95","ABIE.BAL","2",6
"95","ABIE.BAL","3",173
"95","ABIE.BAL","4",17
"95","ABIE.BAL","5",408
"95","ABIE.BAL","6",1069
"95","ABIE.BAL","7",2183
"95","ABIE.BAL","8",216
"95","ABIE.BAL","9",61
"95","ABIE.BAL","10",0
"100","ABIE.BAL","1",78
"100","ABIE.BAL","2",5
"100","ABIE.BAL","3",136
