"landtype","spp","poolID","amountAtT0"
"75","ABIE.BAL","1",86
"75","ABIE.BAL","2",10
"75","ABIE.BAL","3",180
"75","ABIE.BAL","4",14
"75","ABIE.BAL","5",199
"75","ABIE.BAL","6",828
"75","ABIE.BAL","7",1785
"75","ABIE.BAL","8",87
"75","ABIE.BAL","9",59
"75","ABIE.BAL","10",0
"76","ABIE.BAL","1",53
"76","ABIE.BAL","2",6
"76","ABIE.BAL","3",115
"76","ABIE.BAL","4",9
"76","ABIE.BAL","5",109
"76","ABIE.BAL","6",518
"76","ABIE.BAL","7",1106
"76","ABIE.BAL","8",52
"76","ABIE.BAL","9",36
"76","ABIE.BAL","10",0
"77","ABIE.BAL","1",0
"77","ABIE.BAL","2",0
"77","ABIE.BAL","3",0
"77","ABIE.BAL","4",0
"77","ABIE.BAL","5",0
"77","ABIE.BAL","6",0
"77","ABIE.BAL","7",0
"77","ABIE.BAL","8",0
"77","ABIE.BAL","9",0
"77","ABIE.BAL","10",0
"78","ABIE.BAL","1",34
"78","ABIE.BAL","2",5
"78","ABIE.BAL","3",73
"78","ABIE.BAL","4",7
"78","ABIE.BAL","5",85
"78","ABIE.BAL","6",346
"78","ABIE.BAL","7",765
"78","ABIE.BAL","8",38
"78","ABIE.BAL","9",20
"78","ABIE.BAL","10",0
"80","ABIE.BAL","1",178
"80","ABIE.BAL","2",15
"80","ABIE.BAL","3",359
"80","ABIE.BAL","4",22
"80","ABIE.BAL","5",330
"80","ABIE.BAL","6",1498
"80","ABIE.BAL","7",3119
"80","ABIE.BAL","8",161
"80","ABIE.BAL","9",136
"80","ABIE.BAL","10",0
"113","ABIE.BAL","1",58
"113","ABIE.BAL","2",6
"113","ABIE.BAL","3",145
"113","ABIE.BAL","4",11
"113","ABIE.BAL","5",138
"113","ABIE.BAL","6",633
"113","ABIE.BAL","7",1347
"113","ABIE.BAL","8",62
"113","ABIE.BAL","9",48
"113","ABIE.BAL","10",0
"114","ABIE.BAL","1",55
"114","ABIE.BAL","2",7
"114","ABIE.BAL","3",117
"114","ABIE.BAL","4",10
"114","ABIE.BAL","5",146
"114","ABIE.BAL","6",589
"114","ABIE.BAL","7",1297
"114","ABIE.BAL","8",68
"114","ABIE.BAL","9",40
"114","ABIE.BAL","10",0
"115","ABIE.BAL","1",34
"115","ABIE.BAL","2",4
"115","ABIE.BAL","3",91
"115","ABIE.BAL","4",7
"115","ABIE.BAL","5",105
"115","ABIE.BAL","6",434
"115","ABIE.BAL","7",959
"115","ABIE.BAL","8",44
"115","ABIE.BAL","9",28
"115","ABIE.BAL","10",0
"117","ABIE.BAL","1",94
"117","ABIE.BAL","2",7
"117","ABIE.BAL","3",141
"117","ABIE.BAL","4",18
"117","ABIE.BAL","5",128
"117","ABIE.BAL","6",718
"117","ABIE.BAL","7",1512
"117","ABIE.BAL","8",54
"117","ABIE.BAL","9",50
"117","ABIE.BAL","10",0
"139","ABIE.BAL","1",132
"139","ABIE.BAL","2",11
"139","ABIE.BAL","3",261
"139","ABIE.BAL","4",18
"139","ABIE.BAL","5",334
"139","ABIE.BAL","6",1254
"139","ABIE.BAL","7",2615
"139","ABIE.BAL","8",188
"139","ABIE.BAL","9",96
"139","ABIE.BAL","10",0
"168","ABIE.BAL","1",91
"168","ABIE.BAL","2",9
"168","ABIE.BAL","3",174
"168","ABIE.BAL","4",14
"168","ABIE.BAL","5",197
"168","ABIE.BAL","6",800
"168","ABIE.BAL","7",1712
"168","ABIE.BAL","8",93
"168","ABIE.BAL","9",59
"168","ABIE.BAL","10",0
"169","ABIE.BAL","1",62
"169","ABIE.BAL","2",7
"169","ABIE.BAL","3",122
"169","ABIE.BAL","4",11
"169","ABIE.BAL","5",155
"169","ABIE.BAL","6",599
"169","ABIE.BAL","7",1309
"169","ABIE.BAL","8",67
"169","ABIE.BAL","9",39
"169","ABIE.BAL","10",0
"172","ABIE.BAL","1",99
"172","ABIE.BAL","2",9
"172","ABIE.BAL","3",171
"172","ABIE.BAL","4",18
"172","ABIE.BAL","5",172
"172","ABIE.BAL","6",817
"172","ABIE.BAL","7",1735
"172","ABIE.BAL","8",77
"172","ABIE.BAL","9",60
"172","ABIE.BAL","10",0
"178","ABIE.BAL","1",57
"178","ABIE.BAL","2",6
"178","ABIE.BAL","3",119
"178","ABIE.BAL","4",9
"178","ABIE.BAL","5",146
"178","ABIE.BAL","6",564
"178","ABIE.BAL","7",1229
