"MapCode","Name","Description","VEG_POT_socRef","n","orgMin","SOCTotal_tonnesPerHa"
305,"305","RE2_4b","RE2",1095,"mineral",61.4690923030037
305,"305","RE2_4b","RE2",1095,"organic",82.1888786079282
307,"307","RS2_4b","RS2",1145,"mineral",70.1634536163748
307,"307","RS2_4b","RS2",1145,"organic",79.5608385971963
308,"308","MJ2_4b","MJ2",761,"mineral",72.6301869225297
308,"308","MJ2_4b","MJ2",761,"organic",49.8106407504037
309,"309","MS2_4b","MS2",1557,"mineral",74.6839221490235
309,"309","MS2_4b","MS2",1557,"organic",56.8748160995897
310,"310","RE3_4b","RE3",82,"mineral",69.6185638004838
310,"310","RE3_4b","RE3",82,"organic",107.298175693355
311,"311","RS1_4b","RS1",164,"mineral",60.2393772404093
311,"311","RS1_4b","RS1",164,"organic",62.0156234016402
314,"314","MS2_4c","MS2",1557,"mineral",74.6839221490235
314,"314","MS2_4c","MS2",1557,"organic",56.8748160995897
315,"315","RS2_4c","RS2",1145,"mineral",70.1634536163748
315,"315","RS2_4c","RS2",1145,"organic",79.5608385971963
316,"316","MJ1_4b","MJ1",225,"mineral",80.0403017487287
316,"316","MJ1_4b","MJ1",225,"organic",47.3997349098898
317,"317","MA1_4b","RE3",82,"mineral",69.6185638004838
317,"317","MA1_4b","RE3",82,"organic",107.298175693355
319,"319","RP1_4b","RP1",76,"mineral",64.0119232916226
319,"319","RP1_4b","RP1",76,"organic",40.7414749850132
320,"320","RE3_4c","RE3",82,"mineral",69.6185638004838
320,"320","RE3_4c","RE3",82,"organic",107.298175693355
323,"323","RC3_4b","RE3",82,"mineral",69.6185638004838
323,"323","RC3_4b","RE3",82,"organic",107.298175693355
328,"328","MJ2_4c","MJ2",761,"mineral",72.6301869225297
328,"328","MJ2_4c","MJ2",761,"organic",49.8106407504037
339,"339","MJ1_4c","MJ1",225,"mineral",80.0403017487287
339,"339","MJ1_4c","MJ1",225,"organic",47.3997349098898
346,"346","FE3_4b","FE3",596,"mineral",81.7915129248147
346,"346","FE3_4b","FE3",596,"organic",42.0820920151054
359,"359","FE3_4c","FE3",596,"mineral",81.7915129248147
359,"359","FE3_4c","FE3",596,"organic",42.0820920151054
360,"360","MF1_4b","MF1",28,"mineral",81.0810574584421
360,"360","MF1_4b","MF1",28,"organic",62.6241820779643
365,"365","MJ2_3a","MJ2",761,"mineral",72.6301869225297
365,"365","MJ2_3a","MJ2",761,"organic",49.8106407504037
367,"367","RS2_3a","RS2",1145,"mineral",70.1634536163748
367,"367","RS2_3a","RS2",1145,"organic",79.5608385971963
368,"368","MJ1_3a","MJ1",225,"mineral",80.0403017487287
368,"368","MJ1_3a","MJ1",225,"organic",47.3997349098898
369,"369","FE3_3a","FE3",596,"mineral",81.7915129248147
369,"369","FE3_3a","FE3",596,"organic",42.0820920151054
370,"370","MF1_3a","MF1",28,"mineral",81.0810574584421
370,"370","MF1_3a","MF1",28,"organic",62.6241820779643
371,"371","RC3_3a","RE3",82,"mineral",69.6185638004838
371,"371","RC3_3a","RE3",82,"organic",107.298175693355
372,"372","RE3_3a","RE3",82,"mineral",69.6185638004838
372,"372","RE3_3a","RE3",82,"organic",107.298175693355
373,"373","RS1_3a","RS1",164,"mineral",60.2393772404093
373,"373","RS1_3a","RS1",164,"organic",62.0156234016402
375,"375","MS2_3a","MS2",1557,"mineral",74.6839221490235
375,"375","MS2_3a","MS2",1557,"organic",56.8748160995897
376,"376","RP1_3a","RP1",76,"mineral",64.0119232916226
376,"376","RP1_3a","RP1",76,"organic",40.7414749850132
380,"380","RE2_3a","RE2",1095,"mineral",61.4690923030037
380,"380","RE2_3a","RE2",1095,"organic",82.1888786079282
385,"385","MJ2_3c","MJ2",761,"mineral",72.6301869225297
385,"385","MJ2_3c","MJ2",761,"organic",49.8106407504037
386,"386","MJ1_3c","MJ1",225,"mineral",80.0403017487287
386,"386","MJ1_3c","MJ1",225,"organic",47.3997349098898
387,"387","MS2_3c","MS2",1557,"mineral",74.6839221490235
387,"387","MS2_3c","MS2",1557,"organic",56.8748160995897
388,"388","RS2_3c","RS2",1145,"mineral",70.1634536163748
