"landtype","spp","poolID","amountAtT0"
"305","ABIE.BAL","1",41
"305","ABIE.BAL","2",6
"305","ABIE.BAL","3",106
"305","ABIE.BAL","4",8
"305","ABIE.BAL","5",116
"305","ABIE.BAL","6",552
"305","ABIE.BAL","7",1237
"305","ABIE.BAL","8",55
"305","ABIE.BAL","9",40
"305","ABIE.BAL","10",0
"307","ABIE.BAL","1",53
"307","ABIE.BAL","2",6
"307","ABIE.BAL","3",141
"307","ABIE.BAL","4",10
"307","ABIE.BAL","5",170
"307","ABIE.BAL","6",745
"307","ABIE.BAL","7",1639
"307","ABIE.BAL","8",86
"307","ABIE.BAL","9",52
"307","ABIE.BAL","10",0
"308","ABIE.BAL","1",66
"308","ABIE.BAL","2",9
"308","ABIE.BAL","3",157
"308","ABIE.BAL","4",13
"308","ABIE.BAL","5",221
"308","ABIE.BAL","6",846
"308","ABIE.BAL","7",1882
"308","ABIE.BAL","8",109
"308","ABIE.BAL","9",59
"308","ABIE.BAL","10",0
"309","ABIE.BAL","1",74
"309","ABIE.BAL","2",10
"309","ABIE.BAL","3",183
"309","ABIE.BAL","4",14
"309","ABIE.BAL","5",222
"309","ABIE.BAL","6",973
"309","ABIE.BAL","7",2131
"309","ABIE.BAL","8",116
"309","ABIE.BAL","9",70
"309","ABIE.BAL","10",0
"310","ABIE.BAL","1",58
"310","ABIE.BAL","2",5
"310","ABIE.BAL","3",146
"310","ABIE.BAL","4",9
"310","ABIE.BAL","5",126
"310","ABIE.BAL","6",675
"310","ABIE.BAL","7",1467
"310","ABIE.BAL","8",60
"310","ABIE.BAL","9",62
"310","ABIE.BAL","10",0
"311","ABIE.BAL","1",14
"311","ABIE.BAL","2",2
"311","ABIE.BAL","3",38
"311","ABIE.BAL","4",3
"311","ABIE.BAL","5",63
"311","ABIE.BAL","6",250
"311","ABIE.BAL","7",606
"311","ABIE.BAL","8",25
"311","ABIE.BAL","9",12
"311","ABIE.BAL","10",0
"314","ABIE.BAL","1",396
"314","ABIE.BAL","2",17
"314","ABIE.BAL","3",929
"314","ABIE.BAL","4",43
"314","ABIE.BAL","5",543
"314","ABIE.BAL","6",3653
"314","ABIE.BAL","7",7277
"314","ABIE.BAL","8",290
"314","ABIE.BAL","9",443
"314","ABIE.BAL","10",0
"315","ABIE.BAL","1",8
"315","ABIE.BAL","2",1
"315","ABIE.BAL","3",25
"315","ABIE.BAL","4",2
"315","ABIE.BAL","5",40
"315","ABIE.BAL","6",141
"315","ABIE.BAL","7",340
"315","ABIE.BAL","8",15
"315","ABIE.BAL","9",7
"315","ABIE.BAL","10",0
"316","ABIE.BAL","1",67
"316","ABIE.BAL","2",9
"316","ABIE.BAL","3",163
"316","ABIE.BAL","4",13
"316","ABIE.BAL","5",230
"316","ABIE.BAL","6",891
"316","ABIE.BAL","7",1969
"316","ABIE.BAL","8",118
"316","ABIE.BAL","9",58
"316","ABIE.BAL","10",0
"319","ABIE.BAL","1",13
"319","ABIE.BAL","2",2
"319","ABIE.BAL","3",31
"319","ABIE.BAL","4",3
"319","ABIE.BAL","5",66
"319","ABIE.BAL","6",217
"319","ABIE.BAL","7",521
"319","ABIE.BAL","8",29
"319","ABIE.BAL","9",10
"319","ABIE.BAL","10",0
"320","ABIE.BAL","1",2
"320","ABIE.BAL","2",0
"320","ABIE.BAL","3",21
"320","ABIE.BAL","4",1
"320","ABIE.BAL","5",47
"320","ABIE.BAL","6",191
"320","ABIE.BAL","7",476
"320","ABIE.BAL","8",14
"320","ABIE.BAL","9",3
"320","ABIE.BAL","10",0
"323","ABIE.BAL","1",3
"323","ABIE.BAL","2",1
"323","ABIE.BAL","3",12
"323","ABIE.BAL","4",1
"323","ABIE.BAL","5",39
"323","ABIE.BAL","6",134
"323","ABIE.BAL","7",362
"323","ABIE.BAL","8",13
"323","ABIE.BAL","9",3
"323","ABIE.BAL","10",0
"328","ABIE.BAL","1",116
"328","ABIE.BAL","2",10
"328","ABIE.BAL","3",276
"328","ABIE.BAL","4",18
"328","ABIE.BAL","5",308
"328","ABIE.BAL","6",1303
"328","ABIE.BAL","7",2734
"328","ABIE.BAL","8",164
"328","ABIE.BAL","9",108
"328","ABIE.BAL","10",0
"339","ABIE.BAL","1",74
"339","ABIE.BAL","2",7
"339","ABIE.BAL","3",189
"339","ABIE.BAL","4",13
"339","ABIE.BAL","5",269
"339","ABIE.BAL","6",1000
"339","ABIE.BAL","7",2133
"339","ABIE.BAL","8",141
"339","ABIE.BAL","9",65
"339","ABIE.BAL","10",0
"346","ABIE.BAL","1",78
"346","ABIE.BAL","2",11
"346","ABIE.BAL","3",194
"346","ABIE.BAL","4",15
"346","ABIE.BAL","5",252
"346","ABIE.BAL","6",1036
"346","ABIE.BAL","7",2285
"346","ABIE.BAL","8",130
"346","ABIE.BAL","9",66
"346","ABIE.BAL","10",0
"359","ABIE.BAL","1",127
"359","ABIE.BAL","2",19
"359","ABIE.BAL","3",307
"359","ABIE.BAL","4",24
"359","ABIE.BAL","5",334
"359","ABIE.BAL","6",1523
"359","ABIE.BAL","7",3334
"359","ABIE.BAL","8",169
"359","ABIE.BAL","9",106
"359","ABIE.BAL","10",0
"360","ABIE.BAL","1",73
"360","ABIE.BAL","2",9
"360","ABIE.BAL","3",182
"360","ABIE.BAL","4",15
"360","ABIE.BAL","5",255
"360","ABIE.BAL","6",990
"360","ABIE.BAL","7",2164
"360","ABIE.BAL","8",131
"360","ABIE.BAL","9",71
"360","ABIE.BAL","10",0
"365","ABIE.BAL","1",48
"365","ABIE.BAL","2",7
"365","ABIE.BAL","3",111
"365","ABIE.BAL","4",9
"365","ABIE.BAL","5",203
"365","ABIE.BAL","6",713
"365","ABIE.BAL","7",1613
"365","ABIE.BAL","8",108
"365","ABIE.BAL","9",40
"365","ABIE.BAL","10",0
"367","ABIE.BAL","1",34
"367","ABIE.BAL","2",4
"367","ABIE.BAL","3",82
"367","ABIE.BAL","4",6
"367","ABIE.BAL","5",130
"367","ABIE.BAL","6",496
"367","ABIE.BAL","7",1126
"367","ABIE.BAL","8",69
"367","ABIE.BAL","9",32
"367","ABIE.BAL","10",0
"368","ABIE.BAL","1",39
"368","ABIE.BAL","2",6
"368","ABIE.BAL","3",90
"368","ABIE.BAL","4",8
"368","ABIE.BAL","5",173
"368","ABIE.BAL","6",608
"368","ABIE.BAL","7",1394
"368","ABIE.BAL","8",95
"368","ABIE.BAL","9",32
"368","ABIE.BAL","10",0
"369","ABIE.BAL","1",29
"369","ABIE.BAL","2",6
"369","ABIE.BAL","3",58
"369","ABIE.BAL","4",7
"369","ABIE.BAL","5",141
"369","ABIE.BAL","6",439
"369","ABIE.BAL","7",1047
"369","ABIE.BAL","8",71
"369","ABIE.BAL","9",20
"369","ABIE.BAL","10",0
"370","ABIE.BAL","1",26
"370","ABIE.BAL","2",4
"370","ABIE.BAL","3",59
"370","ABIE.BAL","4",5
"370","ABIE.BAL","5",137
"370","ABIE.BAL","6",444
"370","ABIE.BAL","7",1028
"370","ABIE.BAL","8",78
"370","ABIE.BAL","9",22
"370","ABIE.BAL","10",0
"371","ABIE.BAL","1",12
"371","ABIE.BAL","2",2
"371","ABIE.BAL","3",26
"371","ABIE.BAL","4",3
"371","ABIE.BAL","5",75
"371","ABIE.BAL","6",213
"371","ABIE.BAL","7",508
"371","ABIE.BAL","8",42
"371","ABIE.BAL","9",9
"371","ABIE.BAL","10",0
"372","ABIE.BAL","1",39
"372","ABIE.BAL","2",6
"372","ABIE.BAL","3",81
"372","ABIE.BAL","4",8
"372","ABIE.BAL","5",197
"372","ABIE.BAL","6",596
"372","ABIE.BAL","7",1351
"372","ABIE.BAL","8",117
"372","ABIE.BAL","9",29
"372","ABIE.BAL","10",0
"373","ABIE.BAL","1",29
"373","ABIE.BAL","2",4
"373","ABIE.BAL","3",65
"373","ABIE.BAL","4",5
"373","ABIE.BAL","5",130
"373","ABIE.BAL","6",431
"373","ABIE.BAL","7",992
"373","ABIE.BAL","8",72
"373","ABIE.BAL","9",25
"373","ABIE.BAL","10",0
"375","ABIE.BAL","1",80
"375","ABIE.BAL","2",10
"375","ABIE.BAL","3",199
"375","ABIE.BAL","4",14
"375","ABIE.BAL","5",322
"375","ABIE.BAL","6",1256
"375","ABIE.BAL","7",2739
"375","ABIE.BAL","8",188
"375","ABIE.BAL","9",78
"375","ABIE.BAL","10",0
"376","ABIE.BAL","1",24
"376","ABIE.BAL","2",4
"376","ABIE.BAL","3",46
"376","ABIE.BAL","4",5
"376","ABIE.BAL","5",140
"376","ABIE.BAL","6",382
"376","ABIE.BAL","7",912
"376","ABIE.BAL","8",77
"376","ABIE.BAL","9",17
"376","ABIE.BAL","10",0
"380","ABIE.BAL","1",83
"380","ABIE.BAL","2",8
"380","ABIE.BAL","3",164
"380","ABIE.BAL","4",12
"380","ABIE.BAL","5",411
"380","ABIE.BAL","6",1189
"380","ABIE.BAL","7",2566
"380","ABIE.BAL","8",270
"380","ABIE.BAL","9",63
"380","ABIE.BAL","10",0
"385","ABIE.BAL","1",43
"385","ABIE.BAL","2",5
"385","ABIE.BAL","3",93
"385","ABIE.BAL","4",8
"385","ABIE.BAL","5",189
"385","ABIE.BAL","6",586
"385","ABIE.BAL","7",1334
"385","ABIE.BAL","8",95
"385","ABIE.BAL","9",34
"385","ABIE.BAL","10",0
"386","ABIE.BAL","1",48
"386","ABIE.BAL","2",6
"386","ABIE.BAL","3",113
"386","ABIE.BAL","4",10
"386","ABIE.BAL","5",233
"386","ABIE.BAL","6",752
"386","ABIE.BAL","7",1698
"386","ABIE.BAL","8",120
"386","ABIE.BAL","9",43
"386","ABIE.BAL","10",0
"387","ABIE.BAL","1",123
"387","ABIE.BAL","2",8
"387","ABIE.BAL","3",211
"387","ABIE.BAL","4",13
"387","ABIE.BAL","5",319
"387","ABIE.BAL","6",998
"387","ABIE.BAL","7",2077
"387","ABIE.BAL","8",192
"387","ABIE.BAL","9",87
"387","ABIE.BAL","10",0
"388","ABIE.BAL","1",39
"388","ABIE.BAL","2",6
"388","ABIE.BAL","3",106
"388","ABIE.BAL","4",8
"388","ABIE.BAL","5",143
"388","ABIE.BAL","6",566
