LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	90	ABIE.BAL	0.111	498	3297
0	90	ACER.RUB	0.143	714	5506
0	90	ACER.SAH	0.111	696	6264
0	90	BETU.ALL	0.125	708	5594
0	90	BETU.PAP	0.167	460	3123
0	90	FAGU.GRA	0.125	1018	10299
0	90	LARI.LAR	0.143	274	1751
0	90	PICE.GLA	0.111	689	9344
0	90	PICE.MAR	0.083	809	6365
0	90	PICE.RUB	0.083	2626	11263
0	90	PINU.BAN	0.167	1032	8767
0	90	PINU.RES	0.143	1143	9884
0	90	PINU.STR	0.1	899	7247
0	90	POPU.TRE	0.167	821	6372
0	90	QUER.RUB	0.083	2078	10124
0	90	THUJ.SPP.ALL	0.091	590	6170
0	90	TSUG.CAN	0.071	483	5984
0	91	ABIE.BAL	0.111	506	3489
0	91	ACER.RUB	0.143	746	5657
0	91	ACER.SAH	0.125	827	6994
0	91	BETU.ALL	0.125	753	5766
0	91	BETU.PAP	0.167	467	3280
0	91	FAGU.GRA	0.125	1050	10554
0	91	LARI.LAR	0.143	320	2072
0	91	PICE.GLA	0.111	752	9762
0	91	PICE.MAR	0.083	858	7226
0	91	PICE.RUB	0.083	1930	11648
0	91	PINU.BAN	0.167	1037	8763
0	91	PINU.RES	0.143	1173	9877
0	91	PINU.STR	0.1	914	7351
0	91	POPU.TRE	0.167	844	6636
0	91	QUER.RUB	0.091	1135	11650
0	91	THUJ.SPP.ALL	0.091	625	6227
0	91	TSUG.CAN	0.071	479	5788
0	92	ABIE.BAL	0.125	684	3193
0	92	ACER.RUB	0.143	686	5464
0	92	ACER.SAH	0.125	656	6318
0	92	BETU.ALL	0.125	672	5765
0	92	BETU.PAP	0.167	438	3082
0	92	FAGU.GRA	0.125	947	10197
0	92	LARI.LAR	0.143	298	1752
0	92	PICE.GLA	0.111	603	8822
0	92	PICE.MAR	0.083	822	6518
0	92	PICE.RUB	0.091	2702	11438
0	92	PINU.BAN	0.167	997	8787
0	92	PINU.RES	0.167	1080	10141
0	92	PINU.STR	0.111	847	7414
0	92	POPU.TRE	0.167	856	6382
0	92	QUER.RUB	0.091	1862	10830
0	92	THUJ.SPP.ALL	0.091	535	5943
0	92	TSUG.CAN	0.071	465	6055
0	93	ABIE.BAL	0.125	550	3613
0	93	ACER.RUB	0.143	735	5781
0	93	ACER.SAH	0.125	954	7751
0	93	BETU.ALL	0.125	694	5856
0	93	BETU.PAP	0.167	489	3232
0	93	FAGU.GRA	0.125	984	10613
0	93	LARI.LAR	0.167	283	2106
0	93	PICE.GLA	0.111	708	9612
0	93	PICE.MAR	0.083	685	7685
0	93	PICE.RUB	0.091	1880	11575
0	93	PINU.BAN	0.167	1015	8770
0	93	PINU.RES	0.167	1155	9915
0	93	PINU.STR	0.111	855	7450
0	93	POPU.TRE	0.167	888	6621
0	93	QUER.RUB	0.091	968	12959
0	93	THUJ.SPP.ALL	0.091	559	5873
0	93	TSUG.CAN	0.071	490	5822
0	94	ABIE.BAL	0.125	465	3654
0	94	ACER.RUB	0.143	752	5646
0	94	ACER.SAH	0.125	827	7582
0	94	BETU.ALL	0.125	799	5679
0	94	BETU.PAP	0.167	476	3270
0	94	FAGU.GRA	0.125	987	10225
0	94	LARI.LAR	0.167	245	2156
0	94	PICE.GLA	0.111	735	9481
0	94	PICE.MAR	0.091	654	7683
0	94	PICE.RUB	0.091	2145	11889
0	94	PINU.BAN	0.167	1024	8682
0	94	PINU.RES	0.143	1161	9489
0	94	PINU.STR	0.1	853	7061
0	94	POPU.TRE	0.167	873	6706
0	94	QUER.RUB	0.091	1014	12414
0	94	THUJ.SPP.ALL	0.091	557	6044
0	94	TSUG.CAN	0.067	473	5818
0	95	ABIE.BAL	0.111	577	3351
0	95	ACER.RUB	0.143	704	5473
0	95	ACER.SAH	0.111	883	6621
0	95	BETU.ALL	0.125	701	6002
0	95	BETU.PAP	0.167	460	3131
0	95	FAGU.GRA	0.125	947	10097
0	95	LARI.LAR	0.143	329	1886
0	95	PICE.GLA	0.111	645	9260
0	95	PICE.MAR	0.091	763	7106
0	95	PICE.RUB	0.091	2298	12151
0	95	PINU.BAN	0.167	992	8668
0	95	PINU.RES	0.143	1121	9886
0	95	PINU.STR	0.1	802	7034
0	95	POPU.TRE	0.167	822	6561
0	95	QUER.RUB	0.077	1349	10944
0	95	THUJ.SPP.ALL	0.091	523	5905
0	95	TSUG.CAN	0.067	421	5634
0	100	ABIE.BAL	0.111	537	3560
0	100	ACER.RUB	0.143	638	5282
0	100	ACER.SAH	0.111	676	7141
0	100	BETU.ALL	0.125	635	5563
0	100	BETU.PAP	0.167	430	3134
0	100	FAGU.GRA	0.111	862	9596
0	100	LARI.LAR	0.143	251	2073
0	100	PICE.GLA	0.111	593	8545
0	100	PICE.MAR	0.091	811	7542
0	100	PICE.RUB	0.083	2131	11557
0	100	PINU.BAN	0.167	926	8606
0	100	PINU.RES	0.143	1048	9474
0	100	PINU.STR	0.1	631	6467
0	100	POPU.TRE	0.167	747	6335
0	100	QUER.RUB	0.083	1170	10722
0	100	THUJ.SPP.ALL	0.091	515	5829
0	100	TSUG.CAN	0.067	378	5042
0	101	ABIE.BAL	0.111	590	3310
0	101	ACER.RUB	0.143	614	5159
0	101	ACER.SAH	0.111	658	6599
0	101	BETU.ALL	0.125	618	5563
0	101	BETU.PAP	0.167	418	3102
0	101	FAGU.GRA	0.111	830	9892
0	101	LARI.LAR	0.167	245	1921
0	101	PICE.GLA	0.111	594	8457
0	101	PICE.MAR	0.083	761	6991
0	101	PICE.RUB	0.083	2733	12064
0	101	PINU.BAN	0.167	1243	8297
0	101	PINU.RES	0.143	1039	9685
0	101	PINU.STR	0.1	621	6418
0	101	POPU.TRE	0.167	694	6244
0	101	QUER.RUB	0.083	1545	9851
0	101	THUJ.SPP.ALL	0.091	503	5674
0	101	TSUG.CAN	0.067	383	5218
0	102	ABIE.BAL	0.125	506	3649
0	102	ACER.RUB	0.143	652	5262
0	102	ACER.SAH	0.111	932	8012
0	102	BETU.ALL	0.125	669	5523
0	102	BETU.PAP	0.167	464	3199
0	102	FAGU.GRA	0.111	882	9908
0	102	LARI.LAR	0.167	252	2270
0	102	PICE.GLA	0.111	629	9314
0	102	PICE.MAR	0.091	748	7917
0	102	PICE.RUB	0.077	1913	12030
0	102	PINU.BAN	0.167	952	8621
0	102	PINU.RES	0.143	1073	9772
0	102	PINU.STR	0.083	628	6350
0	102	POPU.TRE	0.167	804	6403
0	102	QUER.RUB	0.067	840	11963
0	102	THUJ.SPP.ALL	0.091	533	5791
0	102	TSUG.CAN	0.062	375	5168
0	182	ABIE.BAL	0.125	448	3604
0	182	ACER.RUB	0.143	752	5631
0	182	ACER.SAH	0.111	801	7325
0	182	BETU.ALL	0.125	720	5706
0	182	BETU.PAP	0.167	511	3214
0	182	FAGU.GRA	0.111	1030	10466
0	182	LARI.LAR	0.143	270	2118
0	182	PICE.GLA	0.111	773	9666
0	182	PICE.MAR	0.083	781	7690
0	182	PICE.RUB	0.071	1739	11843
0	182	PINU.BAN	0.167	1055	8783
0	182	PINU.RES	0.143	1153	9792
0	182	PINU.STR	0.1	789	7123
0	182	POPU.TRE	0.167	927	6762
0	182	QUER.RUB	0.083	1021	10738
0	182	THUJ.SPP.ALL	0.091	597	6228
0	182	TSUG.CAN	0.067	411	5711
0	183	ABIE.BAL	0.111	697	3362
0	183	ACER.RUB	0.143	715	5314
0	183	ACER.SAH	0.111	938	6885
0	183	BETU.ALL	0.125	660	5832
0	183	BETU.PAP	0.143	499	3170
0	183	FAGU.GRA	0.111	1000	9995
0	183	LARI.LAR	0.143	282	1938
0	183	PICE.GLA	0.111	712	9392
0	183	PICE.MAR	0.083	789	7011
0	183	PICE.RUB	0.071	2773	11552
0	183	PINU.BAN	0.167	997	8711
0	183	PINU.RES	0.143	1149	9534
0	183	PINU.STR	0.1	738	6649
0	183	POPU.TRE	0.167	840	6414
0	183	QUER.RUB	0.067	1696	9557
0	183	THUJ.SPP.ALL	0.091	570	6294
0	183	TSUG.CAN	0.067	396	5233
0	184	ABIE.BAL	0.111	649	3273
0	184	ACER.RUB	0.111	583	5127
0	184	ACER.SAH	0.1	705	5800
0	184	BETU.ALL	0.111	705	5792
0	184	BETU.PAP	0.167	439	3146
0	184	FAGU.GRA	0.111	906	9882
0	184	LARI.LAR	0.143	290	1955
0	184	PICE.GLA	0.111	663	9016
0	184	PICE.MAR	0.083	754	6581
0	184	PICE.RUB	0.071	2500	10960
0	184	PINU.BAN	0.143	1035	8570
0	184	PINU.RES	0.125	1118	9615
0	184	PINU.STR	0.077	512	5654
0	184	POPU.TRE	0.143	825	6413
0	184	QUER.RUB	0.059	1118	8042
0	184	THUJ.SPP.ALL	0.083	624	6124
0	184	TSUG.CAN	0.059	529	4755
0	185	ABIE.BAL	0.111	580	3545
0	185	ACER.RUB	0.125	756	5257
0	185	ACER.SAH	0.1	918	7551
0	185	BETU.ALL	0.111	741	5612
0	185	BETU.PAP	0.167	499	3196
0	185	FAGU.GRA	0.111	941	10673
0	185	LARI.LAR	0.143	279	2241
0	185	PICE.GLA	0.111	734	9689
0	185	PICE.MAR	0.083	730	7709
0	185	PICE.RUB	0.071	2233	11646
0	185	PINU.BAN	0.143	1048	8591
0	185	PINU.RES	0.125	1143	9960
0	185	PINU.STR	0.077	484	6090
0	185	POPU.TRE	0.167	893	6550
0	185	QUER.RUB	0.059	1751	10042
0	185	THUJ.SPP.ALL	0.083	671	6190
0	185	TSUG.CAN	0.059	407	4665
0	186	ABIE.BAL	0.111	528	3496
0	186	ACER.RUB	0.143	712	5397
0	186	ACER.SAH	0.125	754	7220
0	186	BETU.ALL	0.125	726	5699
0	186	BETU.PAP	0.167	488	3228
0	186	FAGU.GRA	0.111	1003	10132
0	186	LARI.LAR	0.143	335	1999
0	186	PICE.GLA	0.111	728	9664
0	186	PICE.MAR	0.083	734	7397
0	186	PICE.RUB	0.071	1711	10994
0	186	PINU.BAN	0.167	988	8630
0	186	PINU.RES	0.143	1143	9888
0	186	PINU.STR	0.1	804	6673
0	186	POPU.TRE	0.167	835	6547
0	186	QUER.RUB	0.071	1353	10782
0	186	THUJ.SPP.ALL	0.091	573	6038
0	186	TSUG.CAN	0.067	429	5454
0	187	ABIE.BAL	0.111	679	3335
0	187	ACER.RUB	0.143	638	5309
0	187	ACER.SAH	0.111	604	5635
0	187	BETU.ALL	0.125	646	5539
0	187	BETU.PAP	0.167	440	3168
0	187	FAGU.GRA	0.111	941	10354
0	187	LARI.LAR	0.143	292	1668
0	187	PICE.GLA	0.111	646	9423
0	187	PICE.MAR	0.083	820	6619
0	187	PICE.RUB	0.071	2629	11063
0	187	PINU.BAN	0.167	975	8662
0	187	PINU.RES	0.143	1103	9749
0	187	PINU.STR	0.1	723	6625
0	187	POPU.TRE	0.167	766	6334
0	187	QUER.RUB	0.067	2384	9239
0	187	THUJ.SPP.ALL	0.091	523	5937
0	187	TSUG.CAN	0.067	386	4972
0	188	ABIE.BAL	0.111	606	3731
0	188	ACER.RUB	0.143	777	5584
0	188	ACER.SAH	0.125	1123	7534
0	188	BETU.ALL	0.125	726	5934
0	188	BETU.PAP	0.167	506	3252
0	188	FAGU.GRA	0.111	1035	10458
0	188	LARI.LAR	0.143	249	2141
0	188	PICE.GLA	0.111	764	9748
0	188	PICE.MAR	0.083	768	7626
0	188	PICE.RUB	0.083	2204	12005
0	188	PINU.BAN	0.167	1037	8812
0	188	PINU.RES	0.143	1157	9776
0	188	PINU.STR	0.1	826	6913
0	188	POPU.TRE	0.167	947	6682
0	188	QUER.RUB	0.083	883	11424
0	188	THUJ.SPP.ALL	0.091	577	6109
0	188	TSUG.CAN	0.067	424	5760
0	189	ABIE.BAL	0.111	510	3563
0	189	ACER.RUB	0.125	707	5337
0	189	ACER.SAH	0.1	770	7199
0	189	BETU.ALL	0.125	671	5486
0	189	BETU.PAP	0.167	491	3143
0	189	FAGU.GRA	0.111	936	9760
0	189	LARI.LAR	0.143	288	2207
0	189	PICE.GLA	0.111	733	9808
0	189	PICE.MAR	0.083	705	7688
0	189	PICE.RUB	0.071	1917	11271
0	189	PINU.BAN	0.167	1006	8637
0	189	PINU.RES	0.125	1166	9863
0	189	PINU.STR	0.077	488	6111
0	189	POPU.TRE	0.167	891	6547
0	189	QUER.RUB	0.062	1330	9749
0	189	THUJ.SPP.ALL	0.091	575	5965
0	189	TSUG.CAN	0.059	387	4856
0	190	ABIE.BAL	0.111	694	3106
0	190	ACER.RUB	0.125	604	5134
0	190	ACER.SAH	0.1	852	5116
0	190	BETU.ALL	0.125	619	5607
0	190	BETU.PAP	0.167	440	3062
0	190	FAGU.GRA	0.111	896	10202
0	190	LARI.LAR	0.143	320	1652
0	190	PICE.GLA	0.111	624	9412
0	190	PICE.MAR	0.083	866	6459
0	190	PICE.RUB	0.067	2483	10967
0	190	PINU.BAN	0.143	1016	8516
0	190	PINU.RES	0.125	1125	9686
0	190	PINU.STR	0.077	504	5992
0	190	POPU.TRE	0.167	666	6250
0	190	QUER.RUB	0.059	1807	7762
0	190	THUJ.SPP.ALL	0.083	551	6013
0	190	TSUG.CAN	0.059	468	4739
0	191	ABIE.BAL	0.111	543	3615
0	191	ACER.RUB	0.143	671	5352
0	191	ACER.SAH	0.111	773	6687
0	191	BETU.ALL	0.125	679	5744
0	191	BETU.PAP	0.167	454	3188
0	191	FAGU.GRA	0.111	927	10203
0	191	LARI.LAR	0.143	272	2023
0	191	PICE.GLA	0.111	672	9052
0	191	PICE.MAR	0.083	790	7379
0	191	PICE.RUB	0.077	1842	11407
0	191	PINU.BAN	0.167	979	8590
0	191	PINU.RES	0.143	1096	9753
0	191	PINU.STR	0.083	673	6585
0	191	POPU.TRE	0.167	856	6356
0	191	QUER.RUB	0.067	1505	9960
0	191	THUJ.SPP.ALL	0.091	541	6176
0	191	TSUG.CAN	0.062	382	5245
0	192	ABIE.BAL	0.125	590	3664
0	192	ACER.RUB	0.143	714	5524
0	192	ACER.SAH	0.111	1053	7890
0	192	BETU.ALL	0.125	768	5743
0	192	BETU.PAP	0.167	512	3217
0	192	FAGU.GRA	0.111	990	9571
0	192	LARI.LAR	0.143	297	2291
0	192	PICE.GLA	0.111	759	9550
0	192	PICE.MAR	0.091	731	8062
0	192	PICE.RUB	0.071	1604	11880
0	192	PINU.BAN	0.167	1015	8661
0	192	PINU.RES	0.143	1151	9812
0	192	PINU.STR	0.1	743	6729
0	192	POPU.TRE	0.167	909	6667
0	192	QUER.RUB	0.083	1059	11700
0	192	THUJ.SPP.ALL	0.091	577	6039
0	192	TSUG.CAN	0.067	420	5308
0	193	ABIE.BAL	0.125	511	3627
0	193	ACER.RUB	0.143	698	5036
0	193	ACER.SAH	0.111	789	7260
0	193	BETU.ALL	0.125	627	5571
0	193	BETU.PAP	0.167	431	3121
0	193	FAGU.GRA	0.111	831	10171
0	193	LARI.LAR	0.167	254	2145
0	193	PICE.GLA	0.111	582	8567
0	193	PICE.MAR	0.091	698	7886
0	193	PICE.RUB	0.071	1662	11836
0	193	PINU.BAN	0.167	923	8600
0	193	PINU.RES	0.143	1008	9607
0	193	PINU.STR	0.083	528	5983
0	193	POPU.TRE	0.167	710	6305
0	193	QUER.RUB	0.067	1177	10743
0	193	THUJ.SPP.ALL	0.091	502	5525
0	193	TSUG.CAN	0.059	396	4987
0	194	ABIE.BAL	0.125	564	3394
0	194	ACER.RUB	0.143	745	4989
0	194	ACER.SAH	0.111	634	6522
0	194	BETU.ALL	0.125	611	5173
0	194	BETU.PAP	0.167	407	2997
0	194	FAGU.GRA	0.111	808	9357
0	194	LARI.LAR	0.167	292	1903
0	194	PICE.GLA	0.111	595	8182
0	194	PICE.MAR	0.091	638	7412
0	194	PICE.RUB	0.071	2119	11332
0	194	PINU.BAN	0.167	874	8479
0	194	PINU.RES	0.143	977	9547
0	194	PINU.STR	0.077	560	5540
0	194	POPU.TRE	0.167	670	6269
0	194	QUER.RUB	0.067	1691	9392
0	194	THUJ.SPP.ALL	0.091	499	5534
0	194	TSUG.CAN	0.059	371	4825
0	195	ABIE.BAL	0.111	627	3275
0	195	ACER.RUB	0.111	557	4810
0	195	ACER.SAH	0.1	606	5643
0	195	BETU.ALL	0.125	592	4989
0	195	BETU.PAP	0.167	398	2880
0	195	FAGU.GRA	0.111	745	9522
0	195	LARI.LAR	0.143	241	1787
0	195	PICE.GLA	0.111	661	7861
0	195	PICE.MAR	0.083	714	6908
0	195	PICE.RUB	0.071	2416	10902
0	195	PINU.BAN	0.167	809	8222
0	195	PINU.RES	0.125	950	8875
0	195	PINU.STR	0.077	634	5407
0	195	POPU.TRE	0.167	607	5980
0	195	QUER.RUB	0.067	1497	8852
0	195	THUJ.SPP.ALL	0.091	503	5452
0	195	TSUG.CAN	0.059	417	4733
0	196	ABIE.BAL	0.111	478	3547
0	196	ACER.RUB	0.125	581	5053
0	196	ACER.SAH	0.111	1026	7235
0	196	BETU.ALL	0.125	619	5661
0	196	BETU.PAP	0.167	412	3150
0	196	FAGU.GRA	0.111	793	9471
0	196	LARI.LAR	0.143	300	2120
0	196	PICE.GLA	0.111	593	8244
0	196	PICE.MAR	0.091	733	7549
0	196	PICE.RUB	0.071	1796	11315
0	196	PINU.BAN	0.167	876	8463
0	196	PINU.RES	0.143	979	9419
0	196	PINU.STR	0.067	474	5830
0	196	POPU.TRE	0.167	723	6287
0	196	QUER.RUB	0.067	1481	10203
0	196	THUJ.SPP.ALL	0.091	496	5526
0	196	TSUG.CAN	0.059	393	4825
0	197	ABIE.BAL	0.125	487	3669
0	197	ACER.RUB	0.111	618	5160
0	197	ACER.SAH	0.111	897	7502
0	197	BETU.ALL	0.125	638	5731
0	197	BETU.PAP	0.167	403	3079
0	197	FAGU.GRA	0.111	819	9746
0	197	LARI.LAR	0.167	268	2221
0	197	PICE.GLA	0.111	622	8725
0	197	PICE.MAR	0.091	715	7991
0	197	PICE.RUB	0.071	1712	11377
0	197	PINU.BAN	0.167	1129	8261
0	197	PINU.RES	0.143	1015	9336
0	197	PINU.STR	0.077	517	5570
