LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	90	ABIE.BAL	0.125	643	3604
0	90	ACER.RUB	0.125	499	4894
0	90	ACER.SAH	0.111	751	6397
0	90	BETU.ALL	0.111	712	5627
0	90	BETU.PAP	0.167	494	3299
0	90	FAGU.GRA	0.111	830	9653
0	90	LARI.LAR	0.143	241	2239
0	90	PICE.GLA	0.1	714	9838
0	90	PICE.MAR	0.091	1064	7983
0	90	PICE.RUB	0.067	1858	10855
0	90	PINU.BAN	0.143	992	8488
0	90	PINU.RES	0.125	1096	9304
0	90	PINU.STR	0.042	472	4681
0	90	POPU.TRE	0.167	800	6578
0	90	QUER.RUB	0.038	472	7320
0	90	THUJ.SPP.ALL	0.077	536	5737
0	90	TSUG.CAN	0.045	427	4495
0	91	ABIE.BAL	0.125	584	3829
0	91	ACER.RUB	0.125	563	5032
0	91	ACER.SAH	0.111	809	7306
0	91	BETU.ALL	0.111	711	5834
0	91	BETU.PAP	0.167	508	3271
0	91	FAGU.GRA	0.111	845	10216
0	91	LARI.LAR	0.143	296	2339
0	91	PICE.GLA	0.1	756	9922
0	91	PICE.MAR	0.091	909	8485
0	91	PICE.RUB	0.071	2106	11235
0	91	PINU.BAN	0.143	1002	8444
0	91	PINU.RES	0.125	1122	9616
0	91	PINU.STR	0.042	464	5012
0	91	POPU.TRE	0.167	893	6751
0	91	QUER.RUB	0.038	934	8707
0	91	THUJ.SPP.ALL	0.077	543	6002
0	91	TSUG.CAN	0.045	439	4360
0	92	ABIE.BAL	0.125	895	3662
0	92	ACER.RUB	0.125	583	5176
0	92	ACER.SAH	0.111	620	6710
0	92	BETU.ALL	0.111	651	5597
0	92	BETU.PAP	0.167	453	3234
0	92	FAGU.GRA	0.111	811	10242
0	92	LARI.LAR	0.167	288	2089
0	92	PICE.GLA	0.111	643	9428
0	92	PICE.MAR	0.091	917	7919
0	92	PICE.RUB	0.071	1983	11128
0	92	PINU.BAN	0.167	907	8657
0	92	PINU.RES	0.143	1030	9431
0	92	PINU.STR	0.053	499	5314
0	92	POPU.TRE	0.167	768	6589
0	92	QUER.RUB	0.048	843	8331
0	92	THUJ.SPP.ALL	0.077	501	5832
0	92	TSUG.CAN	0.048	443	4478
0	93	ABIE.BAL	0.125	491	3811
0	93	ACER.RUB	0.125	545	5170
0	93	ACER.SAH	0.111	687	7141
0	93	BETU.ALL	0.111	683	5762
0	93	BETU.PAP	0.167	493	3318
0	93	FAGU.GRA	0.111	831	10061
0	93	LARI.LAR	0.167	346	2354
0	93	PICE.GLA	0.111	673	9258
0	93	PICE.MAR	0.091	764	8477
0	93	PICE.RUB	0.071	1650	11633
0	93	PINU.BAN	0.167	927	8640
0	93	PINU.RES	0.125	1066	9601
0	93	PINU.STR	0.045	488	4865
0	93	POPU.TRE	0.167	817	6484
0	93	QUER.RUB	0.042	686	8865
0	93	THUJ.SPP.ALL	0.077	499	5733
0	93	TSUG.CAN	0.045	438	4585
0	94	ABIE.BAL	0.111	679	3850
0	94	ACER.RUB	0.125	480	4783
0	94	ACER.SAH	0.077	840	7321
0	94	BETU.ALL	0.111	648	5584
0	94	BETU.PAP	0.167	495	3280
0	94	FAGU.GRA	0.111	784	9391
0	94	LARI.LAR	0.143	286	2344
0	94	PICE.GLA	0.1	681	9159
0	94	PICE.MAR	0.091	857	8417
0	94	PICE.RUB	0.062	1792	11597
0	94	PINU.BAN	0.143	945	8482
0	94	PINU.RES	0.125	1040	9271
0	94	PINU.STR	0.037	260	3951
0	94	POPU.TRE	0.167	795	6585
0	94	QUER.RUB	0.038	620	7057
0	94	THUJ.SPP.ALL	0.077	486	5650
0	94	TSUG.CAN	0.038	313	4620
0	95	ABIE.BAL	0.111	642	3656
0	95	ACER.RUB	0.111	661	4466
0	95	ACER.SAH	0.071	560	6486
0	95	BETU.ALL	0.111	604	5320
0	95	BETU.PAP	0.167	455	3129
0	95	FAGU.GRA	0.111	775	9731
0	95	LARI.LAR	0.143	259	2168
0	95	PICE.GLA	0.1	649	9191
0	95	PICE.MAR	0.091	900	7812
0	95	PICE.RUB	0.062	1818	10671
0	95	PINU.BAN	0.143	938	8408
0	95	PINU.RES	0.125	1012	9281
0	95	PINU.STR	0.037	271	3660
0	95	POPU.TRE	0.143	810	6483
0	95	QUER.RUB	0.036	654	7181
0	95	THUJ.SPP.ALL	0.071	468	5579
0	95	TSUG.CAN	0.038	383	4925
0	100	ABIE.BAL	0.111	539	3628
0	100	ACER.RUB	0.062	537	3921
0	100	ACER.SAH	0.067	836	6322
0	100	BETU.ALL	0.111	551	5045
0	100	BETU.PAP	0.167	391	3058
0	100	FAGU.GRA	0.091	634	9146
0	100	LARI.LAR	0.143	302	2170
0	100	PICE.GLA	0.1	552	8674
0	100	PICE.MAR	0.091	754	8079
0	100	PICE.RUB	0.056	1640	10312
0	100	PINU.BAN	0.143	796	8152
0	100	PINU.RES	0.125	1114	8721
0	100	PINU.STR	0	0	0
0	100	POPU.TRE	0.143	658	6142
0	100	QUER.RUB	0	0	0
0	100	THUJ.SPP.ALL	0.071	459	5285
0	100	TSUG.CAN	0	0	0
0	101	ABIE.BAL	0.111	636	3446
0	101	ACER.RUB	0.062	504	3880
0	101	ACER.SAH	0.062	814	5011
0	101	BETU.ALL	0.111	544	5085
0	101	BETU.PAP	0.167	411	3038
0	101	FAGU.GRA	0.091	613	9148
0	101	LARI.LAR	0.143	288	1996
0	101	PICE.GLA	0.1	606	8021
0	101	PICE.MAR	0.091	832	7473
0	101	PICE.RUB	0.056	1389	10099
0	101	PINU.BAN	0.143	757	8160
0	101	PINU.RES	0.125	1031	8809
0	101	PINU.STR	0	0	0
0	101	POPU.TRE	0.143	609	6226
0	101	QUER.RUB	0	0	0
0	101	THUJ.SPP.ALL	0.071	449	5388
0	101	TSUG.CAN	0	0	0
0	102	ABIE.BAL	0.111	511	3731
0	102	ACER.RUB	0.062	412	4094
0	102	ACER.SAH	0.071	745	6251
0	102	BETU.ALL	0.111	580	5240
0	102	BETU.PAP	0.167	413	3033
0	102	FAGU.GRA	0.091	644	8951
0	102	LARI.LAR	0.143	300	2286
0	102	PICE.GLA	0.1	629	8261
0	102	PICE.MAR	0.091	810	8276
0	102	PICE.RUB	0.053	1844	10420
0	102	PINU.BAN	0.143	830	8179
0	102	PINU.RES	0.125	853	8916
0	102	PINU.STR	0	0	0
0	102	POPU.TRE	0.143	728	6333
0	102	QUER.RUB	0	0	0
0	102	THUJ.SPP.ALL	0.071	455	5405
0	102	TSUG.CAN	0	0	0
0	182	ABIE.BAL	0.111	536	3827
0	182	ACER.RUB	0.077	803	4325
0	182	ACER.SAH	0.071	759	6873
0	182	BETU.ALL	0.111	662	5577
0	182	BETU.PAP	0.167	510	3239
0	182	FAGU.GRA	0.091	793	9395
0	182	LARI.LAR	0.143	341	2432
0	182	PICE.GLA	0.1	705	9860
0	182	PICE.MAR	0.091	828	8808
0	182	PICE.RUB	0.059	1571	10464
0	182	PINU.BAN	0.143	957	8441
0	182	PINU.RES	0.125	1016	9282
0	182	PINU.STR	0	0	0
0	182	POPU.TRE	0.143	917	6726
0	182	QUER.RUB	0	0	0
0	182	THUJ.SPP.ALL	0.071	477	5593
0	182	TSUG.CAN	0	0	0
0	183	ABIE.BAL	0.111	623	3606
0	183	ACER.RUB	0.071	604	4127
0	183	ACER.SAH	0.071	515	5968
0	183	BETU.ALL	0.111	636	5454
0	183	BETU.PAP	0.167	468	3262
0	183	FAGU.GRA	0.091	764	9708
0	183	LARI.LAR	0.143	295	2180
0	183	PICE.GLA	0.1	663	9005
0	183	PICE.MAR	0.091	994	8005
0	183	PICE.RUB	0.056	1591	10162
0	183	PINU.BAN	0.143	914	8368
0	183	PINU.RES	0.125	1091	9000
0	183	PINU.STR	0	0	0
0	183	POPU.TRE	0.143	746	6567
0	183	QUER.RUB	0	0	0
0	183	THUJ.SPP.ALL	0.071	467	5583
0	183	TSUG.CAN	0	0	0
0	184	ABIE.BAL	0.111	577	3489
0	184	ACER.RUB	0.043	445	3596
0	184	ACER.SAH	0.053	665	4272
0	184	BETU.ALL	0.091	609	4910
0	184	BETU.PAP	0.143	432	3105
0	184	FAGU.GRA	0.083	657	8799
0	184	LARI.LAR	0.125	297	2250
0	184	PICE.GLA	0.1	649	8688
0	184	PICE.MAR	0.083	886	7542
0	184	PICE.RUB	0.043	1543	10391
0	184	PINU.BAN	0.143	861	8138
0	184	PINU.RES	0.111	920	8855
0	184	PINU.STR	0	0	0
0	184	POPU.TRE	0.143	723	6245
0	184	QUER.RUB	0	0	0
0	184	THUJ.SPP.ALL	0.062	467	5370
0	184	TSUG.CAN	0	0	0
0	185	ABIE.BAL	0.111	526	3779
0	185	ACER.RUB	0.043	410	3843
0	185	ACER.SAH	0.059	654	5576
0	185	BETU.ALL	0.091	627	5257
0	185	BETU.PAP	0.143	492	3201
0	185	FAGU.GRA	0.083	700	9028
0	185	LARI.LAR	0.143	276	2451
0	185	PICE.GLA	0.1	680	9393
0	185	PICE.MAR	0.091	783	8500
0	185	PICE.RUB	0.05	1461	10167
0	185	PINU.BAN	0.143	896	8259
0	185	PINU.RES	0.111	1000	8993
0	185	PINU.STR	0	0	0
0	185	POPU.TRE	0.143	788	6545
0	185	QUER.RUB	0	0	0
0	185	THUJ.SPP.ALL	0.062	483	5600
0	185	TSUG.CAN	0	0	0
0	186	ABIE.BAL	0.111	519	3798
0	186	ACER.RUB	0.091	763	4285
0	186	ACER.SAH	0.071	717	6520
0	186	BETU.ALL	0.111	641	5527
0	186	BETU.PAP	0.167	497	3269
0	186	FAGU.GRA	0.091	768	9491
0	186	LARI.LAR	0.143	301	2300
0	186	PICE.GLA	0.1	715	9687
0	186	PICE.MAR	0.091	937	8477
0	186	PICE.RUB	0.059	1880	10310
0	186	PINU.BAN	0.143	1279	8215
0	186	PINU.RES	0.125	1024	9457
0	186	PINU.STR	0	0	0
0	186	POPU.TRE	0.143	856	6599
0	186	QUER.RUB	0	0	0
0	186	THUJ.SPP.ALL	0.071	477	5686
0	186	TSUG.CAN	0	0	0
0	187	ABIE.BAL	0.111	658	3597
0	187	ACER.RUB	0.062	506	4076
0	187	ACER.SAH	0.071	713	5367
0	187	BETU.ALL	0.111	619	5266
0	187	BETU.PAP	0.167	459	3183
0	187	FAGU.GRA	0.091	721	8975
0	187	LARI.LAR	0.143	298	2118
0	187	PICE.GLA	0.1	651	9155
0	187	PICE.MAR	0.091	716	8037
0	187	PICE.RUB	0.053	1605	10363
0	187	PINU.BAN	0.143	889	8460
0	187	PINU.RES	0.125	1094	8832
0	187	PINU.STR	0	0	0
0	187	POPU.TRE	0.143	776	6504
0	187	QUER.RUB	0	0	0
0	187	THUJ.SPP.ALL	0.071	461	5517
0	187	TSUG.CAN	0	0	0
0	188	ABIE.BAL	0.111	467	3818
0	188	ACER.RUB	0.091	777	4347
0	188	ACER.SAH	0.071	656	7071
0	188	BETU.ALL	0.111	663	5663
0	188	BETU.PAP	0.167	514	3289
0	188	FAGU.GRA	0.091	799	9470
0	188	LARI.LAR	0.143	291	2446
0	188	PICE.GLA	0.1	731	9686
0	188	PICE.MAR	0.091	837	8882
0	188	PICE.RUB	0.059	1596	10273
0	188	PINU.BAN	0.143	1309	8266
0	188	PINU.RES	0.125	1033	9473
0	188	PINU.STR	0	0	0
0	188	POPU.TRE	0.143	903	6673
0	188	QUER.RUB	0	0	0
0	188	THUJ.SPP.ALL	0.071	483	5555
0	188	TSUG.CAN	0	0	0
0	189	ABIE.BAL	0.111	515	3664
0	189	ACER.RUB	0.043	389	3662
0	189	ACER.SAH	0.059	566	5246
0	189	BETU.ALL	0.091	605	5221
0	189	BETU.PAP	0.143	489	3125
0	189	FAGU.GRA	0.083	645	9155
0	189	LARI.LAR	0.143	306	2365
0	189	PICE.GLA	0.1	655	8917
0	189	PICE.MAR	0.091	767	8437
0	189	PICE.RUB	0.048	1453	9615
0	189	PINU.BAN	0.143	867	8164
0	189	PINU.RES	0.111	920	8983
0	189	PINU.STR	0	0	0
0	189	POPU.TRE	0.143	790	6502
0	189	QUER.RUB	0	0	0
0	189	THUJ.SPP.ALL	0.067	445	5430
0	189	TSUG.CAN	0	0	0
0	190	ABIE.BAL	0.111	573	3346
0	190	ACER.RUB	0.043	364	3453
0	190	ACER.SAH	0.059	831	4129
0	190	BETU.ALL	0.091	522	5139
0	190	BETU.PAP	0.143	443	2997
0	190	FAGU.GRA	0.083	632	8612
0	190	LARI.LAR	0.125	231	2072
0	190	PICE.GLA	0.1	659	8852
0	190	PICE.MAR	0.091	780	7505
0	190	PICE.RUB	0.048	1201	10438
0	190	PINU.BAN	0.143	820	8084
0	190	PINU.RES	0.111	893	8875
0	190	PINU.STR	0	0	0
0	190	POPU.TRE	0.143	739	6232
0	190	QUER.RUB	0	0	0
0	190	THUJ.SPP.ALL	0.067	447	5276
0	190	TSUG.CAN	0	0	0
0	191	ABIE.BAL	0.111	543	3610
0	191	ACER.RUB	0.062	595	3880
0	191	ACER.SAH	0.071	535	5388
0	191	BETU.ALL	0.111	575	5278
0	191	BETU.PAP	0.167	451	3073
0	191	FAGU.GRA	0.091	682	9374
0	191	LARI.LAR	0.143	286	2195
0	191	PICE.GLA	0.1	642	8817
0	191	PICE.MAR	0.091	887	8043
0	191	PICE.RUB	0.053	1623	10037
0	191	PINU.BAN	0.143	837	8202
0	191	PINU.RES	0.125	1063	8992
0	191	PINU.STR	0	0	0
0	191	POPU.TRE	0.143	732	6368
0	191	QUER.RUB	0	0	0
0	191	THUJ.SPP.ALL	0.071	459	5461
0	191	TSUG.CAN	0	0	0
0	192	ABIE.BAL	0.111	491	3822
0	192	ACER.RUB	0.091	752	4190
0	192	ACER.SAH	0.071	687	6742
0	192	BETU.ALL	0.111	658	5385
0	192	BETU.PAP	0.167	486	3219
0	192	FAGU.GRA	0.091	755	9727
0	192	LARI.LAR	0.143	319	2421
0	192	PICE.GLA	0.1	690	9043
0	192	PICE.MAR	0.091	851	8537
0	192	PICE.RUB	0.059	2006	10627
0	192	PINU.BAN	0.143	940	8361
0	192	PINU.RES	0.125	1046	9367
0	192	PINU.STR	0	0	0
0	192	POPU.TRE	0.143	824	6773
0	192	QUER.RUB	0	0	0
0	192	THUJ.SPP.ALL	0.071	467	5495
0	192	TSUG.CAN	0	0	0
0	193	ABIE.BAL	0.111	478	3599
0	193	ACER.RUB	0.048	577	3441
0	193	ACER.SAH	0.062	483	5109
0	193	BETU.ALL	0.1	559	4960
0	193	BETU.PAP	0.143	412	2969
0	193	FAGU.GRA	0.083	536	8603
0	193	LARI.LAR	0.143	264	2152
0	193	PICE.GLA	0.1	586	7726
0	193	PICE.MAR	0.091	725	8143
0	193	PICE.RUB	0.053	1568	9688
0	193	PINU.BAN	0.143	739	8029
0	193	PINU.RES	0.125	933	8588
0	193	PINU.STR	0	0	0
0	193	POPU.TRE	0.143	660	6208
0	193	QUER.RUB	0	0	0
0	193	THUJ.SPP.ALL	0.071	490	5004
0	193	TSUG.CAN	0	0	0
0	194	ABIE.BAL	0.111	500	3388
0	194	ACER.RUB	0.043	407	3259
0	194	ACER.SAH	0.059	564	4300
0	194	BETU.ALL	0.1	496	4859
0	194	BETU.PAP	0.143	393	2911
0	194	FAGU.GRA	0.083	486	8125
0	194	LARI.LAR	0.143	235	1943
0	194	PICE.GLA	0.1	626	7533
0	194	PICE.MAR	0.091	724	7372
0	194	PICE.RUB	0.048	1201	10231
0	194	PINU.BAN	0.143	708	7946
0	194	PINU.RES	0.125	940	8301
0	194	PINU.STR	0	0	0
0	194	POPU.TRE	0.143	631	5995
0	194	QUER.RUB	0	0	0
0	194	THUJ.SPP.ALL	0.067	490	4921
0	194	TSUG.CAN	0	0	0
0	195	ABIE.BAL	0.111	558	3269
0	195	ACER.RUB	0.043	423	2974
0	195	ACER.SAH	0.053	813	3901
0	195	BETU.ALL	0.091	433	4658
0	195	BETU.PAP	0.143	382	2764
0	195	FAGU.GRA	0.083	452	8071
0	195	LARI.LAR	0.125	194	1888
0	195	PICE.GLA	0.1	584	7078
0	195	PICE.MAR	0.083	624	7405
0	195	PICE.RUB	0.048	1421	10525
0	195	PINU.BAN	0.143	650	7711
0	195	PINU.RES	0.111	869	8263
0	195	PINU.STR	0	0	0
0	195	POPU.TRE	0.143	575	5821
0	195	QUER.RUB	0	0	0
0	195	THUJ.SPP.ALL	0.067	484	4816
0	195	TSUG.CAN	0	0	0
0	196	ABIE.BAL	0.111	569	3582
0	196	ACER.RUB	0.043	467	3220
0	196	ACER.SAH	0.059	561	4683
0	196	BETU.ALL	0.1	511	4980
0	196	BETU.PAP	0.143	400	3034
0	196	FAGU.GRA	0.083	481	8081
0	196	LARI.LAR	0.143	260	2128
0	196	PICE.GLA	0.1	557	7803
0	196	PICE.MAR	0.091	773	7966
0	196	PICE.RUB	0.048	1152	9870
0	196	PINU.BAN	0.143	695	7922
0	196	PINU.RES	0.125	950	8253
0	196	PINU.STR	0	0	0
0	196	POPU.TRE	0.143	672	6013
0	196	QUER.RUB	0	0	0
0	196	THUJ.SPP.ALL	0.067	474	4894
0	196	TSUG.CAN	0	0	0
0	197	ABIE.BAL	0.111	491	3615
0	197	ACER.RUB	0.043	470	3264
0	197	ACER.SAH	0.048	630	4598
0	197	BETU.ALL	0.1	519	5053
0	197	BETU.PAP	0.143	393	2923
0	197	FAGU.GRA	0.083	487	8348
0	197	LARI.LAR	0.125	245	2114
0	197	PICE.GLA	0.1	599	7560
0	197	PICE.MAR	0.083	754	7995
0	197	PICE.RUB	0.048	1216	10002
0	197	PINU.BAN	0.143	798	7864
0	197	PINU.RES	0.125	961	8361
0	197	PINU.STR	0	0	0
0	197	POPU.TRE	0.143	643	6208
0	197	QUER.RUB	0	0	0
0	197	THUJ.SPP.ALL	0.067	479	4912
0	197	TSUG.CAN	0	0	0
0	198	ABIE.BAL	0.111	606	3359
0	198	ACER.RUB	0.043	419	3116
0	198	ACER.SAH	0.053	881	4163
0	198	BETU.ALL	0.1	470	4891
0	198	BETU.PAP	0.143	376	2867
