LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	67	ABIE.BAL	0.125	802	3727
0	67	ACER.RUB	0.143	827	5917
0	67	ACER.SAH	0.125	871	7685
0	67	BETU.ALL	0.143	705	5927
0	67	BETU.PAP	0.25	488	3394
0	67	FAGU.GRA	0.125	1046	10960
0	67	LARI.LAR	0.143	363	2214
0	67	PICE.GLA	0.125	725	10132
0	67	PICE.MAR	0.083	1027	7702
0	67	PICE.RUB	0.083	2964	12703
0	67	PINU.BAN	0.25	1015	8985
0	67	PINU.RES	0.167	1152	10031
0	67	PINU.STR	0.111	939	7697
0	67	POPU.TRE	0.2	864	6788
0	67	QUER.RUB	0.1	1098	14247
0	67	THUJ.SPP.ALL	0.1	616	6388
0	67	TSUG.CAN	0.077	555	6297
0	68	ABIE.BAL	0.125	638	3950
0	68	ACER.RUB	0.143	959	6101
0	68	ACER.SAH	0.125	898	8224
0	68	BETU.ALL	0.143	853	6244
0	68	BETU.PAP	0.25	586	3533
0	68	FAGU.GRA	0.125	1233	10890
0	68	LARI.LAR	0.143	349	2461
0	68	PICE.GLA	0.125	955	10845
0	68	PICE.MAR	0.083	865	8312
0	68	PICE.RUB	0.083	2597	12975
0	68	PINU.BAN	0.25	1154	9060
0	68	PINU.RES	0.167	1295	10203
0	68	PINU.STR	0.111	1095	8008
0	68	POPU.TRE	0.2	1091	7158
0	68	QUER.RUB	0.1	1201	14416
0	68	THUJ.SPP.ALL	0.1	674	6527
0	68	TSUG.CAN	0.077	689	6840
0	122	ABIE.BAL	0.111	530	3612
0	122	ACER.RUB	0.143	739	5258
0	122	ACER.SAH	0.1	1008	8072
0	122	BETU.ALL	0.111	605	5805
0	122	BETU.PAP	0.2	414	3089
0	122	FAGU.GRA	0.111	810	9987
0	122	LARI.LAR	0.143	322	2228
0	122	PICE.GLA	0.111	591	8538
0	122	PICE.MAR	0.083	777	7998
0	122	PICE.RUB	0.077	1928	11956
0	122	PINU.BAN	0.143	936	8630
0	122	PINU.RES	0.125	1039	9348
0	122	PINU.STR	0.1	621	6553
0	122	POPU.TRE	0.143	745	6447
0	122	QUER.RUB	0.077	853	12043
0	122	THUJ.SPP.ALL	0.077	526	5906
0	122	TSUG.CAN	0.067	380	5267
0	123	ABIE.BAL	0.111	723	3370
0	123	ACER.RUB	0.143	662	5035
0	123	ACER.SAH	0.1	651	6704
0	123	BETU.ALL	0.111	622	5544
0	123	BETU.PAP	0.2	364	2974
0	123	FAGU.GRA	0.111	798	9754
0	123	LARI.LAR	0.143	261	1887
0	123	PICE.GLA	0.111	645	8291
0	123	PICE.MAR	0.083	853	7120
0	123	PICE.RUB	0.077	2194	11125
0	123	PINU.BAN	0.143	920	8502
0	123	PINU.RES	0.125	1012	9651
0	123	PINU.STR	0.1	601	6123
0	123	POPU.TRE	0.143	658	6243
0	123	QUER.RUB	0.077	1357	10132
0	123	THUJ.SPP.ALL	0.077	505	5690
0	123	TSUG.CAN	0.062	425	4788
0	124	ABIE.BAL	0.111	710	3786
0	124	ACER.RUB	0.143	741	5719
0	124	ACER.SAH	0.111	966	8226
0	124	BETU.ALL	0.143	661	5710
0	124	BETU.PAP	0.25	446	3226
0	124	FAGU.GRA	0.111	920	10064
0	124	LARI.LAR	0.143	290	2221
0	124	PICE.GLA	0.111	657	9311
0	124	PICE.MAR	0.091	835	7995
0	124	PICE.RUB	0.077	2687	12299
0	124	PINU.BAN	0.167	959	8854
0	124	PINU.RES	0.143	1073	9804
0	124	PINU.STR	0.111	802	7370
0	124	POPU.TRE	0.167	829	6690
0	124	QUER.RUB	0.091	1190	12790
0	124	THUJ.SPP.ALL	0.091	539	5903
0	124	TSUG.CAN	0.071	494	5862
0	125	ABIE.BAL	0.125	712	3706
0	125	ACER.RUB	0.143	894	5969
0	125	ACER.SAH	0.125	919	7767
0	125	BETU.ALL	0.143	763	6468
0	125	BETU.PAP	0.25	499	3325
0	125	FAGU.GRA	0.125	1167	10521
0	125	LARI.LAR	0.143	330	2197
0	125	PICE.GLA	0.111	865	10176
0	125	PICE.MAR	0.083	1053	7591
0	125	PICE.RUB	0.091	2722	12651
0	125	PINU.BAN	0.25	1100	9004
0	125	PINU.RES	0.167	1226	10218
0	125	PINU.STR	0.143	991	7867
0	125	POPU.TRE	0.2	981	7042
0	125	QUER.RUB	0.1	1242	14213
0	125	THUJ.SPP.ALL	0.1	595	6180
0	125	TSUG.CAN	0.077	607	6704
0	126	ABIE.BAL	0.111	526	3414
0	126	ACER.RUB	0.143	618	5587
0	126	ACER.SAH	0.111	1039	7018
0	126	BETU.ALL	0.143	614	5578
0	126	BETU.PAP	0.25	423	3069
0	126	FAGU.GRA	0.111	876	10287
0	126	LARI.LAR	0.143	290	1966
0	126	PICE.GLA	0.111	638	8280
0	126	PICE.MAR	0.091	668	6834
0	126	PICE.RUB	0.077	2053	11740
0	126	PINU.BAN	0.167	939	8600
0	126	PINU.RES	0.143	1015	9740
0	126	PINU.STR	0.111	753	7391
0	126	POPU.TRE	0.167	633	6372
0	126	QUER.RUB	0.083	1732	11358
0	126	THUJ.SPP.ALL	0.091	539	5858
0	126	TSUG.CAN	0.077	409	5798
0	127	ABIE.BAL	0.111	638	3547
0	127	ACER.RUB	0.143	728	5527
0	127	ACER.SAH	0.111	723	7464
0	127	BETU.ALL	0.125	655	5555
0	127	BETU.PAP	0.2	436	3110
0	127	FAGU.GRA	0.111	914	10012
0	127	LARI.LAR	0.143	282	2069
0	127	PICE.GLA	0.111	633	9042
0	127	PICE.MAR	0.083	755	7513
0	127	PICE.RUB	0.077	2831	11822
0	127	PINU.BAN	0.167	962	8621
0	127	PINU.RES	0.143	1066	9747
0	127	PINU.STR	0.1	758	6941
0	127	POPU.TRE	0.167	755	6480
0	127	QUER.RUB	0.091	1100	11350
0	127	THUJ.SPP.ALL	0.091	532	5874
0	127	TSUG.CAN	0.067	429	5542
0	128	ABIE.BAL	0.111	638	3764
0	128	ACER.RUB	0.143	756	5813
0	128	ACER.SAH	0.111	979	8320
0	128	BETU.ALL	0.143	694	5961
0	128	BETU.PAP	0.2	484	3287
0	128	FAGU.GRA	0.111	1001	10357
0	128	LARI.LAR	0.143	321	2351
0	128	PICE.GLA	0.111	711	9444
0	128	PICE.MAR	0.091	903	8277
0	128	PICE.RUB	0.077	2338	12720
0	128	PINU.BAN	0.167	1019	8791
0	128	PINU.RES	0.143	1114	9867
0	128	PINU.STR	0.1	870	7273
0	128	POPU.TRE	0.167	921	6806
0	128	QUER.RUB	0.091	1129	13645
0	128	THUJ.SPP.ALL	0.091	561	5887
0	128	TSUG.CAN	0.071	492	6089
0	129	ABIE.BAL	0.111	550	4036
0	129	ACER.RUB	0.143	921	6067
0	129	ACER.SAH	0.111	1021	8668
0	129	BETU.ALL	0.143	865	6066
0	129	BETU.PAP	0.25	585	3431
0	129	FAGU.GRA	0.111	1224	10499
0	129	LARI.LAR	0.143	323	2453
0	129	PICE.GLA	0.111	1009	10628
0	129	PICE.MAR	0.091	917	8813
0	129	PICE.RUB	0.077	2356	13254
0	129	PINU.BAN	0.167	1221	9076
0	129	PINU.RES	0.143	1338	10151
0	129	PINU.STR	0.111	985	7903
0	129	POPU.TRE	0.167	1116	7294
0	129	QUER.RUB	0.091	1392	13888
0	129	THUJ.SPP.ALL	0.091	629	6274
0	129	TSUG.CAN	0.071	625	6545
0	130	ABIE.BAL	0.111	478	3963
0	130	ACER.RUB	0.143	811	5846
0	130	ACER.SAH	0.111	1003	8325
0	130	BETU.ALL	0.125	835	6253
0	130	BETU.PAP	0.25	532	3393
0	130	FAGU.GRA	0.111	1043	10527
0	130	LARI.LAR	0.143	355	2461
0	130	PICE.GLA	0.111	891	10419
0	130	PICE.MAR	0.091	972	8794
0	130	PICE.RUB	0.077	1743	13068
0	130	PINU.BAN	0.167	1149	9002
0	130	PINU.RES	0.143	1252	10047
0	130	PINU.STR	0.111	932	7578
0	130	POPU.TRE	0.167	990	7057
0	130	QUER.RUB	0.091	1262	14397
0	130	THUJ.SPP.ALL	0.091	614	6336
0	130	TSUG.CAN	0.071	550	6557
0	131	ABIE.BAL	0.111	491	4201
0	131	ACER.RUB	0.143	915	6036
0	131	ACER.SAH	0.111	1017	8916
0	131	BETU.ALL	0.125	879	6451
0	131	BETU.PAP	0.2	614	3634
0	131	FAGU.GRA	0.111	1185	10563
0	131	LARI.LAR	0.167	364	2532
0	131	PICE.GLA	0.111	1028	11113
0	131	PICE.MAR	0.091	985	8915
0	131	PICE.RUB	0.077	1964	13119
0	131	PINU.BAN	0.167	1234	9047
0	131	PINU.RES	0.143	1359	10406
0	131	PINU.STR	0.1	976	7532
0	131	POPU.TRE	0.167	1079	7311
0	131	QUER.RUB	0.091	1204	13894
0	131	THUJ.SPP.ALL	0.091	649	6529
0	131	TSUG.CAN	0.067	600	6728
0	132	ABIE.BAL	0.125	556	4298
0	132	ACER.RUB	0.143	902	6261
0	132	ACER.SAH	0.111	1198	9105
0	132	BETU.ALL	0.125	960	6390
0	132	BETU.PAP	0.2	620	3579
0	132	FAGU.GRA	0.111	1203	10729
0	132	LARI.LAR	0.143	277	2706
0	132	PICE.GLA	0.111	1052	11214
0	132	PICE.MAR	0.1	867	9694
0	132	PICE.RUB	0.077	2433	13501
0	132	PINU.BAN	0.167	1239	9167
0	132	PINU.RES	0.143	1329	10413
0	132	PINU.STR	0.1	991	7704
0	132	POPU.TRE	0.167	1160	7253
0	132	QUER.RUB	0.1	1542	15296
0	132	THUJ.SPP.ALL	0.091	671	6302
0	132	TSUG.CAN	0.067	632	6474
0	205	ABIE.BAL	0.111	658	3401
0	205	ACER.RUB	0.125	726	4815
0	205	ACER.SAH	0.091	864	7258
0	205	BETU.ALL	0.111	581	5467
0	205	BETU.PAP	0.167	422	3017
0	205	FAGU.GRA	0.1	773	9650
0	205	LARI.LAR	0.125	262	2016
0	205	PICE.GLA	0.1	594	8420
0	205	PICE.MAR	0.083	784	7368
0	205	PICE.RUB	0.062	2254	11159
0	205	PINU.BAN	0.143	871	8317
0	205	PINU.RES	0.125	941	9192
0	205	PINU.STR	0.083	619	5253
0	205	POPU.TRE	0.143	685	6148
0	205	QUER.RUB	0.05	843	9870
0	205	THUJ.SPP.ALL	0.077	479	5321
0	205	TSUG.CAN	0.053	402	4434
0	206	ABIE.BAL	0.111	573	3188
0	206	ACER.RUB	0.1	499	4463
0	206	ACER.SAH	0.083	780	5249
0	206	BETU.ALL	0.111	550	5239
0	206	BETU.PAP	0.167	349	2844
0	206	FAGU.GRA	0.1	657	9240
0	206	LARI.LAR	0.125	194	1631
0	206	PICE.GLA	0.1	622	7697
0	206	PICE.MAR	0.083	716	6775
0	206	PICE.RUB	0.062	1829	10949
0	206	PINU.BAN	0.143	762	8067
0	206	PINU.RES	0.111	891	9158
0	206	PINU.STR	0.059	534	4671
0	206	POPU.TRE	0.143	587	5908
0	206	QUER.RUB	0.043	1214	8562
0	206	THUJ.SPP.ALL	0.077	490	5216
0	206	TSUG.CAN	0.05	445	4248
0	207	ABIE.BAL	0.111	690	3277
0	207	ACER.RUB	0.111	661	4755
0	207	ACER.SAH	0.091	518	5587
0	207	BETU.ALL	0.111	575	5469
0	207	BETU.PAP	0.167	387	2948
0	207	FAGU.GRA	0.1	745	9605
0	207	LARI.LAR	0.143	244	1898
0	207	PICE.GLA	0.111	632	7789
0	207	PICE.MAR	0.083	657	7125
0	207	PICE.RUB	0.071	2121	11002
0	207	PINU.BAN	0.143	853	8264
0	207	PINU.RES	0.125	950	9327
0	207	PINU.STR	0.083	528	5438
0	207	POPU.TRE	0.143	613	6081
0	207	QUER.RUB	0.067	1418	8881
0	207	THUJ.SPP.ALL	0.077	490	5532
0	207	TSUG.CAN	0.056	355	4360
0	208	ABIE.BAL	0.111	783	3664
0	208	ACER.RUB	0.143	790	5168
0	208	ACER.SAH	0.091	887	7563
0	208	BETU.ALL	0.111	651	5702
0	208	BETU.PAP	0.167	417	3078
0	208	FAGU.GRA	0.1	817	10132
0	208	LARI.LAR	0.143	286	2147
0	208	PICE.GLA	0.111	604	8374
0	208	PICE.MAR	0.083	886	7708
0	208	PICE.RUB	0.071	2225	11677
0	208	PINU.BAN	0.143	925	8576
0	208	PINU.RES	0.125	1036	9436
0	208	PINU.STR	0.083	506	5853
0	208	POPU.TRE	0.143	689	6445
0	208	QUER.RUB	0.077	1317	10399
0	208	THUJ.SPP.ALL	0.077	494	5584
0	208	TSUG.CAN	0.059	373	4900
0	209	ABIE.BAL	0.111	610	3113
0	209	ACER.RUB	0.125	827	4215
0	209	ACER.SAH	0.083	837	4876
0	209	BETU.ALL	0.1	504	5009
0	209	BETU.PAP	0.143	333	2742
0	209	FAGU.GRA	0.1	616	9574
0	209	LARI.LAR	0.125	174	1696
0	209	PICE.GLA	0.1	629	7090
0	209	PICE.MAR	0.083	685	6634
0	209	PICE.RUB	0.062	1726	10726
0	209	PINU.BAN	0.143	690	7873
0	209	PINU.RES	0.111	800	8739
0	209	PINU.STR	0.05	680	4596
0	209	POPU.TRE	0.143	532	5691
0	209	QUER.RUB	0.042	887	7903
0	209	THUJ.SPP.ALL	0.077	484	5081
0	209	TSUG.CAN	0.048	364	4251
0	210	ABIE.BAL	0.111	787	3310
0	210	ACER.RUB	0.125	848	4192
0	210	ACER.SAH	0.083	594	5929
0	210	BETU.ALL	0.1	566	5131
0	210	BETU.PAP	0.143	362	2905
0	210	FAGU.GRA	0.1	627	9173
0	210	LARI.LAR	0.125	227	1833
0	210	PICE.GLA	0.1	656	7182
0	210	PICE.MAR	0.083	687	6950
0	210	PICE.RUB	0.062	1896	10806
0	210	PINU.BAN	0.143	737	7872
0	210	PINU.RES	0.111	822	8906
0	210	PINU.STR	0.045	398	4435
0	210	POPU.TRE	0.143	577	5787
0	210	QUER.RUB	0.045	1015	8282
0	210	THUJ.SPP.ALL	0.077	528	5049
0	210	TSUG.CAN	0.048	378	4414
0	211	ABIE.BAL	0.111	604	3472
0	211	ACER.RUB	0.125	396	4647
0	211	ACER.SAH	0.083	676	6934
0	211	BETU.ALL	0.1	597	5151
0	211	BETU.PAP	0.143	402	2997
0	211	FAGU.GRA	0.1	664	9609
0	211	LARI.LAR	0.125	248	1988
0	211	PICE.GLA	0.1	602	7627
0	211	PICE.MAR	0.083	755	7529
0	211	PICE.RUB	0.062	2201	10797
0	211	PINU.BAN	0.143	765	7996
0	211	PINU.RES	0.111	883	8890
0	211	PINU.STR	0.05	630	4726
0	211	POPU.TRE	0.143	636	6115
0	211	QUER.RUB	0.045	1011	9154
0	211	THUJ.SPP.ALL	0.077	485	5156
0	211	TSUG.CAN	0.048	393	4198
0	212	ABIE.BAL	0.111	489	3896
0	212	ACER.RUB	0.143	857	5666
0	212	ACER.SAH	0.111	967	8392
0	212	BETU.ALL	0.125	791	6106
0	212	BETU.PAP	0.2	553	3371
0	212	FAGU.GRA	0.111	1071	11007
0	212	LARI.LAR	0.143	324	2283
0	212	PICE.GLA	0.111	862	10103
0	212	PICE.MAR	0.083	912	8439
0	212	PICE.RUB	0.077	2107	12126
0	212	PINU.BAN	0.167	1134	8830
0	212	PINU.RES	0.143	1214	10026
0	212	PINU.STR	0.1	872	7574
0	212	POPU.TRE	0.167	987	6935
0	212	QUER.RUB	0.091	939	12514
0	212	THUJ.SPP.ALL	0.091	557	6097
0	212	TSUG.CAN	0.067	477	6107
0	213	ABIE.BAL	0.111	688	3673
0	213	ACER.RUB	0.143	760	5268
0	213	ACER.SAH	0.1	881	7092
0	213	BETU.ALL	0.125	608	5541
0	213	BETU.PAP	0.2	431	3080
0	213	FAGU.GRA	0.111	822	10189
0	213	LARI.LAR	0.143	264	2123
0	213	PICE.GLA	0.111	581	8611
0	213	PICE.MAR	0.083	746	7587
0	213	PICE.RUB	0.077	2358	11509
0	213	PINU.BAN	0.167	912	8549
0	213	PINU.RES	0.143	1035	9165
0	213	PINU.STR	0.1	608	6306
0	213	POPU.TRE	0.167	690	6334
0	213	QUER.RUB	0.083	1043	11170
0	213	THUJ.SPP.ALL	0.091	506	5739
0	213	TSUG.CAN	0.067	375	5077
0	214	ABIE.BAL	0.111	761	3277
0	214	ACER.RUB	0.111	564	5184
0	214	ACER.SAH	0.1	652	6083
0	214	BETU.ALL	0.125	606	5396
0	214	BETU.PAP	0.167	385	2975
0	214	FAGU.GRA	0.111	777	9334
0	214	LARI.LAR	0.143	283	1757
0	214	PICE.GLA	0.111	610	8212
0	214	PICE.MAR	0.083	817	6580
0	214	PICE.RUB	0.071	2475	11354
0	214	PINU.BAN	0.167	849	8339
0	214	PINU.RES	0.143	1008	9110
0	214	PINU.STR	0.1	580	6062
0	214	POPU.TRE	0.167	563	6069
0	214	QUER.RUB	0.071	1822	9812
0	214	THUJ.SPP.ALL	0.091	527	5392
0	214	TSUG.CAN	0.067	342	4775
0	215	ABIE.BAL	0.111	489	4082
0	215	ACER.RUB	0.143	875	6096
0	215	ACER.SAH	0.111	891	8459
0	215	BETU.ALL	0.125	863	6127
0	215	BETU.PAP	0.2	573	3557
0	215	FAGU.GRA	0.111	1163	10390
0	215	LARI.LAR	0.167	315	2547
0	215	PICE.GLA	0.111	1046	11000
0	215	PICE.MAR	0.083	930	9033
0	215	PICE.RUB	0.077	1679	12319
0	215	PINU.BAN	0.167	1210	8973
0	215	PINU.RES	0.143	1342	10164
0	215	PINU.STR	0.1	948	7354
0	215	POPU.TRE	0.167	1080	7145
0	215	QUER.RUB	0.091	1161	13876
0	215	THUJ.SPP.ALL	0.091	597	6220
0	215	TSUG.CAN	0.067	571	6402
0	216	ABIE.BAL	0.125	595	3935
0	216	ACER.RUB	0.143	786	5941
0	216	ACER.SAH	0.111	829	8150
0	216	BETU.ALL	0.125	804	5987
0	216	BETU.PAP	0.2	550	3381
0	216	FAGU.GRA	0.111	1077	10474
0	216	LARI.LAR	0.143	367	2370
0	216	PICE.GLA	0.111	880	10494
0	216	PICE.MAR	0.083	825	8552
0	216	PICE.RUB	0.077	1906	12637
0	216	PINU.BAN	0.167	1106	8906
0	216	PINU.RES	0.143	1229	9955
