LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	67	ABIE.BAL	0.111	485	3971
0	67	ACER.RUB	0.125	662	5497
0	67	ACER.SAH	0.111	912	8586
0	67	BETU.ALL	0.125	758	5665
0	67	BETU.PAP	0.167	521	3319
0	67	FAGU.GRA	0.111	927	10345
0	67	LARI.LAR	0.167	282	2515
0	67	PICE.GLA	0.111	848	9892
0	67	PICE.MAR	0.091	846	9150
0	67	PICE.RUB	0.077	1571	12073
0	67	PINU.BAN	0.167	1024	8823
0	67	PINU.RES	0.143	1159	9824
0	67	PINU.STR	0.077	468	5730
0	67	POPU.TRE	0.167	953	6956
0	67	QUER.RUB	0.062	1062	10682
0	67	THUJ.SPP.ALL	0.091	572	5970
0	67	TSUG.CAN	0.053	397	5057
0	68	ABIE.BAL	0.125	539	4298
0	68	ACER.RUB	0.125	774	5842
0	68	ACER.SAH	0.111	1089	8849
0	68	BETU.ALL	0.125	867	6438
0	68	BETU.PAP	0.167	622	3491
0	68	FAGU.GRA	0.111	1064	10506
0	68	LARI.LAR	0.111	305	2721
0	68	PICE.GLA	0.111	1028	10705
0	68	PICE.MAR	0.091	851	9747
0	68	PICE.RUB	0.077	1942	12570
0	68	PINU.BAN	0.167	1176	9005
0	68	PINU.RES	0.143	1270	10006
0	68	PINU.STR	0.077	592	6617
0	68	POPU.TRE	0.167	1116	7157
0	68	QUER.RUB	0.071	961	12283
0	68	THUJ.SPP.ALL	0.091	624	6376
0	68	TSUG.CAN	0.053	442	5378
0	122	ABIE.BAL	0.111	502	3667
0	122	ACER.RUB	0.05	486	3751
0	122	ACER.SAH	0.071	519	5823
0	122	BETU.ALL	0.111	542	5120
0	122	BETU.PAP	0.167	402	3013
0	122	FAGU.GRA	0.091	561	8996
0	122	LARI.LAR	0.143	259	2202
0	122	PICE.GLA	0.1	550	8036
0	122	PICE.MAR	0.091	764	8249
0	122	PICE.RUB	0.053	1912	10317
0	122	PINU.BAN	0.143	722	8029
0	122	PINU.RES	0.125	1105	8719
0	122	PINU.STR	0	0	0
0	122	POPU.TRE	0.143	672	6218
0	122	QUER.RUB	0	0	0
0	122	THUJ.SPP.ALL	0.071	472	5239
0	122	TSUG.CAN	0	0	0
0	123	ABIE.BAL	0.111	543	3368
0	123	ACER.RUB	0.062	583	3672
0	123	ACER.SAH	0.071	661	5066
0	123	BETU.ALL	0.111	522	5440
0	123	BETU.PAP	0.167	398	2960
0	123	FAGU.GRA	0.091	533	8770
0	123	LARI.LAR	0.143	238	2000
0	123	PICE.GLA	0.1	565	8181
0	123	PICE.MAR	0.091	790	7751
0	123	PICE.RUB	0.053	1503	10139
0	123	PINU.BAN	0.143	708	8107
0	123	PINU.RES	0.125	1104	8718
0	123	PINU.STR	0	0	0
0	123	POPU.TRE	0.143	610	6043
0	123	QUER.RUB	0	0	0
0	123	THUJ.SPP.ALL	0.071	506	5129
0	123	TSUG.CAN	0	0	0
0	124	ABIE.BAL	0.125	493	3792
0	124	ACER.RUB	0.111	697	4571
0	124	ACER.SAH	0.1	658	7418
0	124	BETU.ALL	0.111	621	5333
0	124	BETU.PAP	0.167	452	3199
0	124	FAGU.GRA	0.111	704	9794
0	124	LARI.LAR	0.143	260	2335
0	124	PICE.GLA	0.1	604	9051
0	124	PICE.MAR	0.091	737	8639
0	124	PICE.RUB	0.067	1867	11045
0	124	PINU.BAN	0.143	905	8428
0	124	PINU.RES	0.125	968	9704
0	124	PINU.STR	0.032	443	4566
0	124	POPU.TRE	0.167	726	6450
0	124	QUER.RUB	0.032	803	7790
0	124	THUJ.SPP.ALL	0.077	477	5353
0	124	TSUG.CAN	0.042	323	4131
0	125	ABIE.BAL	0.125	577	4162
0	125	ACER.RUB	0.125	735	5751
0	125	ACER.SAH	0.111	929	7988
0	125	BETU.ALL	0.125	813	6181
0	125	BETU.PAP	0.167	580	3511
0	125	FAGU.GRA	0.111	1031	10310
0	125	LARI.LAR	0.167	353	2530
0	125	PICE.GLA	0.111	956	10617
0	125	PICE.MAR	0.091	831	9245
0	125	PICE.RUB	0.077	2326	12734
0	125	PINU.BAN	0.167	1119	8890
0	125	PINU.RES	0.143	1226	9892
0	125	PINU.STR	0.083	598	6557
0	125	POPU.TRE	0.167	1058	7031
0	125	QUER.RUB	0.071	910	11594
0	125	THUJ.SPP.ALL	0.091	559	6078
0	125	TSUG.CAN	0.059	400	5468
0	126	ABIE.BAL	0.125	508	3684
0	126	ACER.RUB	0.111	454	4632
0	126	ACER.SAH	0.1	725	6946
0	126	BETU.ALL	0.111	580	5495
0	126	BETU.PAP	0.167	411	3123
0	126	FAGU.GRA	0.111	698	9176
0	126	LARI.LAR	0.111	255	2197
0	126	PICE.GLA	0.111	618	8377
0	126	PICE.MAR	0.091	818	7950
0	126	PICE.RUB	0.067	2212	11222
0	126	PINU.BAN	0.167	841	8406
0	126	PINU.RES	0.125	997	9371
0	126	PINU.STR	0.042	320	3934
0	126	POPU.TRE	0.167	693	6388
0	126	QUER.RUB	0.032	984	7828
0	126	THUJ.SPP.ALL	0.077	486	5553
0	126	TSUG.CAN	0.043	337	4159
0	127	ABIE.BAL	0.111	556	3647
0	127	ACER.RUB	0.1	768	4160
0	127	ACER.SAH	0.077	524	6144
0	127	BETU.ALL	0.111	611	5360
0	127	BETU.PAP	0.167	433	3101
0	127	FAGU.GRA	0.1	701	9093
0	127	LARI.LAR	0.143	329	2165
0	127	PICE.GLA	0.1	598	8518
0	127	PICE.MAR	0.091	767	7949
0	127	PICE.RUB	0.062	1726	10473
0	127	PINU.BAN	0.143	867	8262
0	127	PINU.RES	0.125	1006	9175
0	127	PINU.STR	0	0	0
0	127	POPU.TRE	0.167	695	6355
0	127	QUER.RUB	0	0	0
0	127	THUJ.SPP.ALL	0.071	477	5290
0	127	TSUG.CAN	0.032	445	4804
0	128	ABIE.BAL	0.125	495	3915
0	128	ACER.RUB	0.111	667	4620
0	128	ACER.SAH	0.1	745	7244
0	128	BETU.ALL	0.111	665	5485
0	128	BETU.PAP	0.167	493	3184
0	128	FAGU.GRA	0.111	747	9188
0	128	LARI.LAR	0.143	276	2413
0	128	PICE.GLA	0.1	669	9164
0	128	PICE.MAR	0.091	833	8613
0	128	PICE.RUB	0.062	1959	11415
0	128	PINU.BAN	0.167	896	8402
0	128	PINU.RES	0.125	1038	9386
0	128	PINU.STR	0.032	630	4759
0	128	POPU.TRE	0.167	832	6560
0	128	QUER.RUB	0.032	881	7845
0	128	THUJ.SPP.ALL	0.077	483	5524
0	128	TSUG.CAN	0.04	292	4310
0	129	ABIE.BAL	0.125	511	4123
0	129	ACER.RUB	0.125	646	5217
0	129	ACER.SAH	0.1	811	7553
0	129	BETU.ALL	0.111	816	5741
0	129	BETU.PAP	0.167	562	3469
0	129	FAGU.GRA	0.111	946	10058
0	129	LARI.LAR	0.167	302	2405
0	129	PICE.GLA	0.111	947	10561
0	129	PICE.MAR	0.091	926	9517
0	129	PICE.RUB	0.067	1903	11556
0	129	PINU.BAN	0.167	1053	8754
0	129	PINU.RES	0.143	1201	9805
0	129	PINU.STR	0.032	261	4380
0	129	POPU.TRE	0.167	1026	6967
0	129	QUER.RUB	0.032	1346	9379
0	129	THUJ.SPP.ALL	0.077	540	5926
0	129	TSUG.CAN	0.04	389	4560
0	130	ABIE.BAL	0.125	517	4067
0	130	ACER.RUB	0.111	507	5114
0	130	ACER.SAH	0.091	876	7964
0	130	BETU.ALL	0.111	735	5930
0	130	BETU.PAP	0.167	544	3370
0	130	FAGU.GRA	0.111	828	10234
0	130	LARI.LAR	0.143	259	2480
0	130	PICE.GLA	0.111	822	10081
0	130	PICE.MAR	0.091	842	9108
0	130	PICE.RUB	0.067	1669	11847
0	130	PINU.BAN	0.167	982	8552
0	130	PINU.RES	0.125	1095	9648
0	130	PINU.STR	0.036	604	4882
0	130	POPU.TRE	0.167	965	6850
0	130	QUER.RUB	0.032	842	8211
0	130	THUJ.SPP.ALL	0.077	512	5895
0	130	TSUG.CAN	0.04	342	4574
0	131	ABIE.BAL	0.111	571	4138
0	131	ACER.RUB	0.111	822	4832
0	131	ACER.SAH	0.077	684	7515
0	131	BETU.ALL	0.111	786	5739
0	131	BETU.PAP	0.167	573	3473
0	131	FAGU.GRA	0.111	910	9809
0	131	LARI.LAR	0.143	329	2510
0	131	PICE.GLA	0.1	960	10540
0	131	PICE.MAR	0.091	908	9564
0	131	PICE.RUB	0.062	1544	11441
0	131	PINU.BAN	0.143	1074	8726
0	131	PINU.RES	0.125	1131	9864
0	131	PINU.STR	0	0	0
0	131	POPU.TRE	0.167	1031	7055
0	131	QUER.RUB	0	0	0
0	131	THUJ.SPP.ALL	0.071	517	5977
0	131	TSUG.CAN	0.032	463	5069
0	132	ABIE.BAL	0.125	593	4315
0	132	ACER.RUB	0.111	700	5115
0	132	ACER.SAH	0.083	918	7983
0	132	BETU.ALL	0.111	766	5865
0	132	BETU.PAP	0.167	578	3506
0	132	FAGU.GRA	0.111	900	10272
0	132	LARI.LAR	0.143	268	2659
0	132	PICE.GLA	0.1	981	10492
0	132	PICE.MAR	0.091	902	10000
0	132	PICE.RUB	0.062	1705	12083
0	132	PINU.BAN	0.143	1078	8708
0	132	PINU.RES	0.125	1134	9550
0	132	PINU.STR	0	0	0
0	132	POPU.TRE	0.167	1022	7138
0	132	QUER.RUB	0	0	0
0	132	THUJ.SPP.ALL	0.077	523	6050
0	132	TSUG.CAN	0.038	313	4372
0	205	ABIE.BAL	0.111	452	3435
0	205	ACER.RUB	0	0	0
0	205	ACER.SAH	0.048	887	4120
0	205	BETU.ALL	0.083	472	4771
0	205	BETU.PAP	0.143	393	2862
0	205	FAGU.GRA	0.083	459	7850
0	205	LARI.LAR	0.125	259	1986
0	205	PICE.GLA	0.1	607	7215
0	205	PICE.MAR	0.083	802	7780
0	205	PICE.RUB	0.042	1270	9592
0	205	PINU.BAN	0.125	637	7703
0	205	PINU.RES	0.1	797	8106
0	205	PINU.STR	0	0	0
0	205	POPU.TRE	0.143	626	6122
0	205	QUER.RUB	0	0	0
0	205	THUJ.SPP.ALL	0.062	512	4816
0	205	TSUG.CAN	0	0	0
0	206	ABIE.BAL	0.111	524	3191
0	206	ACER.RUB	0	0	0
0	206	ACER.SAH	0.042	611	3015
0	206	BETU.ALL	0.083	405	4425
0	206	BETU.PAP	0.143	343	2753
0	206	FAGU.GRA	0.077	449	7191
0	206	LARI.LAR	0.125	207	1732
0	206	PICE.GLA	0.091	560	6798
0	206	PICE.MAR	0.083	676	7067
0	206	PICE.RUB	0.036	1030	11201
0	206	PINU.BAN	0.125	591	7468
0	206	PINU.RES	0.1	804	7930
0	206	PINU.STR	0	0	0
0	206	POPU.TRE	0.143	506	5641
0	206	QUER.RUB	0	0	0
0	206	THUJ.SPP.ALL	0.059	500	4497
0	206	TSUG.CAN	0	0	0
0	207	ABIE.BAL	0.111	770	3392
0	207	ACER.RUB	0.043	403	2994
0	207	ACER.SAH	0.053	824	4234
0	207	BETU.ALL	0.1	450	4822
0	207	BETU.PAP	0.143	363	2830
0	207	FAGU.GRA	0.083	463	7987
0	207	LARI.LAR	0.125	205	1869
0	207	PICE.GLA	0.1	606	7065
0	207	PICE.MAR	0.083	798	7390
0	207	PICE.RUB	0.048	1266	10032
0	207	PINU.BAN	0.143	658	7755
0	207	PINU.RES	0.125	688	8135
0	207	PINU.STR	0	0	0
0	207	POPU.TRE	0.143	580	5887
0	207	QUER.RUB	0	0	0
0	207	THUJ.SPP.ALL	0.067	479	4864
0	207	TSUG.CAN	0	0	0
0	208	ABIE.BAL	0.111	537	3586
0	208	ACER.RUB	0.043	321	3468
0	208	ACER.SAH	0.062	532	4883
0	208	BETU.ALL	0.1	530	5019
0	208	BETU.PAP	0.143	410	2968
0	208	FAGU.GRA	0.083	505	8847
0	208	LARI.LAR	0.125	239	2172
0	208	PICE.GLA	0.1	553	7857
0	208	PICE.MAR	0.091	822	7851
0	208	PICE.RUB	0.048	1498	9735
0	208	PINU.BAN	0.143	715	7915
0	208	PINU.RES	0.125	1025	8612
0	208	PINU.STR	0	0	0
0	208	POPU.TRE	0.143	644	6096
0	208	QUER.RUB	0	0	0
0	208	THUJ.SPP.ALL	0.067	481	5031
0	208	TSUG.CAN	0	0	0
0	209	ABIE.BAL	0.111	502	3106
0	209	ACER.RUB	0	0	0
0	209	ACER.SAH	0	0	0
0	209	BETU.ALL	0.077	369	4328
0	209	BETU.PAP	0.143	291	2670
0	209	FAGU.GRA	0.071	479	6687
0	209	LARI.LAR	0.125	202	1642
0	209	PICE.GLA	0.091	513	6146
0	209	PICE.MAR	0.077	628	6885
0	209	PICE.RUB	0.018	911	9781
0	209	PINU.BAN	0.125	606	7224
0	209	PINU.RES	0.1	734	7552
0	209	PINU.STR	0	0	0
0	209	POPU.TRE	0.143	517	5522
0	209	QUER.RUB	0	0	0
0	209	THUJ.SPP.ALL	0.059	483	4342
0	209	TSUG.CAN	0	0	0
0	210	ABIE.BAL	0.111	513	3310
0	210	ACER.RUB	0	0	0
0	210	ACER.SAH	0	0	0
0	210	BETU.ALL	0.077	366	4382
0	210	BETU.PAP	0.125	324	2679
0	210	FAGU.GRA	0.071	480	6673
0	210	LARI.LAR	0.125	215	1795
0	210	PICE.GLA	0.091	530	6074
0	210	PICE.MAR	0.077	590	7260
0	210	PICE.RUB	0.018	804	9155
0	210	PINU.BAN	0.125	534	7105
0	210	PINU.RES	0.1	726	7625
0	210	PINU.STR	0	0	0
0	210	POPU.TRE	0.143	526	5569
0	210	QUER.RUB	0	0	0
0	210	THUJ.SPP.ALL	0.059	458	4293
0	210	TSUG.CAN	0	0	0
0	211	ABIE.BAL	0.111	456	3331
0	211	ACER.RUB	0	0	0
0	211	ACER.SAH	0.036	439	2890
0	211	BETU.ALL	0.083	400	4449
0	211	BETU.PAP	0.143	338	2805
0	211	FAGU.GRA	0.071	447	7037
0	211	LARI.LAR	0.125	214	1864
0	211	PICE.GLA	0.091	534	6715
0	211	PICE.MAR	0.077	602	7544
0	211	PICE.RUB	0.018	862	10485
0	211	PINU.BAN	0.125	985	7117
0	211	PINU.RES	0.1	717	7769
0	211	PINU.STR	0	0	0
0	211	POPU.TRE	0.143	515	5675
0	211	QUER.RUB	0	0	0
0	211	THUJ.SPP.ALL	0.059	492	4466
0	211	TSUG.CAN	0	0	0
0	212	ABIE.BAL	0.111	474	3846
0	212	ACER.RUB	0.062	676	4227
0	212	ACER.SAH	0.071	717	6865
0	212	BETU.ALL	0.111	668	5242
0	212	BETU.PAP	0.167	515	3282
0	212	FAGU.GRA	0.1	764	9834
0	212	LARI.LAR	0.143	288	2328
0	212	PICE.GLA	0.1	773	9855
0	212	PICE.MAR	0.091	766	8819
0	212	PICE.RUB	0.056	2214	10554
0	212	PINU.BAN	0.143	940	8520
0	212	PINU.RES	0.125	1003	9276
0	212	PINU.STR	0	0	0
0	212	POPU.TRE	0.143	950	6787
0	212	QUER.RUB	0	0	0
0	212	THUJ.SPP.ALL	0.071	473	5572
0	212	TSUG.CAN	0.019	372	4658
0	213	ABIE.BAL	0.111	524	3610
0	213	ACER.RUB	0.048	474	3656
0	213	ACER.SAH	0.071	565	5254
0	213	BETU.ALL	0.111	539	5228
0	213	BETU.PAP	0.167	393	3004
0	213	FAGU.GRA	0.091	536	8713
0	213	LARI.LAR	0.143	270	2075
0	213	PICE.GLA	0.1	596	7831
0	213	PICE.MAR	0.091	781	7798
0	213	PICE.RUB	0.053	1622	10010
0	213	PINU.BAN	0.143	701	8190
0	213	PINU.RES	0.125	1104	8437
0	213	PINU.STR	0	0	0
0	213	POPU.TRE	0.143	656	6105
0	213	QUER.RUB	0	0	0
0	213	THUJ.SPP.ALL	0.071	488	4964
0	213	TSUG.CAN	0	0	0
0	214	ABIE.BAL	0.111	562	3318
0	214	ACER.RUB	0.05	448	3446
0	214	ACER.SAH	0.062	758	4490
0	214	BETU.ALL	0.111	503	4924
0	214	BETU.PAP	0.167	371	2946
0	214	FAGU.GRA	0.091	499	8561
0	214	LARI.LAR	0.143	266	1836
0	214	PICE.GLA	0.1	622	7561
0	214	PICE.MAR	0.091	840	7425
0	214	PICE.RUB	0.05	1567	10434
0	214	PINU.BAN	0.143	721	7833
0	214	PINU.RES	0.125	918	8499
0	214	PINU.STR	0	0	0
0	214	POPU.TRE	0.143	576	5879
0	214	QUER.RUB	0	0	0
0	214	THUJ.SPP.ALL	0.067	487	4954
0	214	TSUG.CAN	0	0	0
0	215	ABIE.BAL	0.111	550	4069
0	215	ACER.RUB	0.091	991	4457
0	215	ACER.SAH	0.071	775	7191
0	215	BETU.ALL	0.111	727	5607
0	215	BETU.PAP	0.167	550	3383
0	215	FAGU.GRA	0.1	847	10032
0	215	LARI.LAR	0.143	328	2443
0	215	PICE.GLA	0.1	918	10124
0	215	PICE.MAR	0.091	812	9231
0	215	PICE.RUB	0.059	1940	10948
0	215	PINU.BAN	0.143	1039	8637
0	215	PINU.RES	0.125	1084	9837
0	215	PINU.STR	0	0	0
0	215	POPU.TRE	0.143	1044	6920
0	215	QUER.RUB	0	0	0
0	215	THUJ.SPP.ALL	0.071	489	5645
0	215	TSUG.CAN	0.017	419	4830
0	216	ABIE.BAL	0.111	461	3870
0	216	ACER.RUB	0.059	385	4547
0	216	ACER.SAH	0.067	658	6861
0	216	BETU.ALL	0.111	654	5381
0	216	BETU.PAP	0.167	508	3315
0	216	FAGU.GRA	0.1	761	9623
0	216	LARI.LAR	0.143	305	2387
0	216	PICE.GLA	0.1	747	9822
0	216	PICE.MAR	0.091	838	8862
0	216	PICE.RUB	0.056	1806	10411
0	216	PINU.BAN	0.143	937	8623
0	216	PINU.RES	0.125	1014	9253
0	216	PINU.STR	0	0	0
0	216	POPU.TRE	0.143	931	6654
0	216	QUER.RUB	0	0	0
0	216	THUJ.SPP.ALL	0.071	473	5438
0	216	TSUG.CAN	0.017	326	4280
0	217	ABIE.BAL	0.111	485	4002
0	217	ACER.RUB	0.042	416	4047
0	217	ACER.SAH	0.062	722	6039
0	217	BETU.ALL	0.1	678	5464
