LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	1	ABIE.BAL	0.111	311	2187
0	1	ACER.RUB	0.2	707	5679
0	1	ACER.SAH	0.111	1085	4302
0	1	BETU.ALL	0.125	545	5222
0	1	BETU.PAP	0.143	445	2942
0	1	FAGU.GRA	0.143	1107	11066
0	1	LARI.LAR	0.143	178	1327
0	1	PICE.GLA	0.111	647	8509
0	1	PICE.MAR	0.077	389	4319
0	1	PICE.RUB	0.067	1490	13537
0	1	PINU.BAN	0.167	946	8393
0	1	PINU.RES	0.143	1061	9641
0	1	PINU.STR	0.143	980	8038
0	1	POPU.TRE	0.167	712	6305
0	1	QUER.RUB	0.143	3603	9158
0	1	THUJ.SPP.ALL	0.091	837	6652
0	1	TSUG.CAN	0.091	524	6343
0	2	ABIE.BAL	0.111	318	1992
0	2	ACER.RUB	0.2	719	5607
0	2	ACER.SAH	0.111	1553	4458
0	2	BETU.ALL	0.125	602	5249
0	2	BETU.PAP	0.143	414	2854
0	2	FAGU.GRA	0.143	1096	10789
0	2	LARI.LAR	0.143	188	1161
0	2	PICE.GLA	0.111	626	8771
0	2	PICE.MAR	0.083	317	3910
0	2	PICE.RUB	0.077	1416	12077
0	2	PINU.BAN	0.167	936	8475
0	2	PINU.RES	0.143	1077	9669
0	2	PINU.STR	0.143	943	7957
0	2	POPU.TRE	0.167	752	6175
0	2	QUER.RUB	0.143	3229	8183
0	2	THUJ.SPP.ALL	0.091	814	6605
0	2	TSUG.CAN	0.1	500	6059
0	3	ABIE.BAL	0.111	478	2646
0	3	ACER.RUB	0.25	812	5829
0	3	ACER.SAH	0.111	907	5508
0	3	BETU.ALL	0.125	584	5278
0	3	BETU.PAP	0.143	425	3038
0	3	FAGU.GRA	0.143	1133	10516
0	3	LARI.LAR	0.143	283	1793
0	3	PICE.GLA	0.111	693	8893
0	3	PICE.MAR	0.071	614	5192
0	3	PICE.RUB	0.071	2224	11103
0	3	PINU.BAN	0.167	914	8278
0	3	PINU.RES	0.143	1079	9814
0	3	PINU.STR	0.143	1020	8063
0	3	POPU.TRE	0.167	888	6504
0	3	QUER.RUB	0.143	2162	10268
0	3	THUJ.SPP.ALL	0.091	819	6829
0	3	TSUG.CAN	0.091	533	6736
0	8	ABIE.BAL	0.111	811	3379
0	8	ACER.RUB	0.25	870	6116
0	8	ACER.SAH	0.111	1107	7616
0	8	BETU.ALL	0.125	653	5326
0	8	BETU.PAP	0.167	515	3227
0	8	FAGU.GRA	0.143	1169	10902
0	8	LARI.LAR	0.143	393	2529
0	8	PICE.GLA	0.111	771	9462
0	8	PICE.MAR	0.071	945	6378
0	8	PICE.RUB	0.071	2119	10909
0	8	PINU.BAN	0.167	910	8532
0	8	PINU.RES	0.143	1122	9870
0	8	PINU.STR	0.143	1023	8227
0	8	POPU.TRE	0.167	997	6912
0	8	QUER.RUB	0.143	1119	14916
0	8	THUJ.SPP.ALL	0.091	853	6749
0	8	TSUG.CAN	0.091	616	6977
0	9	ABIE.BAL	0.111	779	3191
0	9	ACER.RUB	0.25	815	6041
0	9	ACER.SAH	0.111	840	6577
0	9	BETU.ALL	0.125	598	5372
0	9	BETU.PAP	0.167	453	3057
0	9	FAGU.GRA	0.143	1140	10467
0	9	LARI.LAR	0.143	483	2215
0	9	PICE.GLA	0.111	727	9108
0	9	PICE.MAR	0.071	549	6007
0	9	PICE.RUB	0.071	1869	11022
0	9	PINU.BAN	0.167	867	8249
0	9	PINU.RES	0.143	1087	9490
0	9	PINU.STR	0.143	997	7909
0	9	POPU.TRE	0.167	915	6627
0	9	QUER.RUB	0.143	930	13703
0	9	THUJ.SPP.ALL	0.091	826	6793
0	9	TSUG.CAN	0.091	582	6922
0	10	ABIE.BAL	0.111	437	2685
0	10	ACER.RUB	0.25	693	5496
0	10	ACER.SAH	0.111	1520	5044
0	10	BETU.ALL	0.125	665	5383
0	10	BETU.PAP	0.143	439	3026
0	10	FAGU.GRA	0.143	999	10563
0	10	LARI.LAR	0.143	196	1429
0	10	PICE.GLA	0.111	670	8681
0	10	PICE.MAR	0.083	531	4995
0	10	PICE.RUB	0.077	1427	11083
0	10	PINU.BAN	0.167	963	8520
0	10	PINU.RES	0.143	1050	9661
0	10	PINU.STR	0.167	889	7812
0	10	POPU.TRE	0.25	825	6215
0	10	QUER.RUB	0.125	1458	9759
0	10	THUJ.SPP.ALL	0.091	705	6350
0	10	TSUG.CAN	0.1	474	6192
0	11	ABIE.BAL	0.111	731	2940
0	11	ACER.RUB	0.25	759	5648
0	11	ACER.SAH	0.111	799	5971
0	11	BETU.ALL	0.125	677	5864
0	11	BETU.PAP	0.167	467	3199
0	11	FAGU.GRA	0.143	1196	10579
0	11	LARI.LAR	0.143	333	1725
0	11	PICE.GLA	0.111	740	9222
0	11	PICE.MAR	0.083	522	5699
0	11	PICE.RUB	0.083	2001	10678
0	11	PINU.BAN	0.167	1091	8671
0	11	PINU.RES	0.143	1205	9927
0	11	PINU.STR	0.143	1064	7988
0	11	POPU.TRE	0.167	931	6676
0	11	QUER.RUB	0.143	1884	11001
0	11	THUJ.SPP.ALL	0.091	854	6939
0	11	TSUG.CAN	0.1	598	6464
0	12	ABIE.BAL	0.111	515	3087
0	12	ACER.RUB	0.25	748	5669
0	12	ACER.SAH	0.125	613	5791
0	12	BETU.ALL	0.125	700	5730
0	12	BETU.PAP	0.167	481	3145
0	12	FAGU.GRA	0.143	1033	10383
0	12	LARI.LAR	0.143	309	1851
0	12	PICE.GLA	0.111	701	9300
0	12	PICE.MAR	0.083	743	6046
0	12	PICE.RUB	0.083	2442	11218
0	12	PINU.BAN	0.167	1088	8668
0	12	PINU.RES	0.143	1171	9754
0	12	PINU.STR	0.167	939	8087
0	12	POPU.TRE	0.25	788	6383
0	12	QUER.RUB	0.125	1154	11094
0	12	THUJ.SPP.ALL	0.091	726	6539
0	12	TSUG.CAN	0.091	545	6704
0	13	ABIE.BAL	0.111	697	3232
0	13	ACER.RUB	0.25	822	6047
0	13	ACER.SAH	0.111	1020	7067
0	13	BETU.ALL	0.125	732	5840
0	13	BETU.PAP	0.167	528	3242
0	13	FAGU.GRA	0.143	1191	10796
0	13	LARI.LAR	0.143	578	2079
0	13	PICE.GLA	0.111	805	9849
0	13	PICE.MAR	0.083	637	6329
0	13	PICE.RUB	0.083	1687	11249
0	13	PINU.BAN	0.167	1143	8830
0	13	PINU.RES	0.143	1246	9938
0	13	PINU.STR	0.167	1018	8199
0	13	POPU.TRE	0.25	1041	6812
0	13	QUER.RUB	0.143	1382	12024
0	13	THUJ.SPP.ALL	0.091	885	6633
0	13	TSUG.CAN	0.1	600	6708
0	14	ABIE.BAL	0.111	880	3338
0	14	ACER.RUB	0.25	792	5934
0	14	ACER.SAH	0.111	1246	7780
0	14	BETU.ALL	0.125	740	5687
0	14	BETU.PAP	0.167	491	3219
0	14	FAGU.GRA	0.143	1089	11147
0	14	LARI.LAR	0.143	375	2312
0	14	PICE.GLA	0.111	754	10101
0	14	PICE.MAR	0.083	995	6693
0	14	PICE.RUB	0.083	2950	11657
0	14	PINU.BAN	0.167	1077	8771
0	14	PINU.RES	0.143	1164	9773
0	14	PINU.STR	0.167	936	7899
0	14	POPU.TRE	0.25	929	6821
0	14	QUER.RUB	0.125	1214	13256
0	14	THUJ.SPP.ALL	0.091	800	6645
0	14	TSUG.CAN	0.1	569	6776
0	15	ABIE.BAL	0.111	714	3507
0	15	ACER.RUB	0.25	848	6035
0	15	ACER.SAH	0.111	1012	7855
0	15	BETU.ALL	0.125	748	5789
0	15	BETU.PAP	0.167	550	3290
0	15	FAGU.GRA	0.143	1204	10550
0	15	LARI.LAR	0.143	334	2456
0	15	PICE.GLA	0.111	804	10062
0	15	PICE.MAR	0.083	947	6885
0	15	PICE.RUB	0.083	2972	11998
0	15	PINU.BAN	0.167	1127	8801
0	15	PINU.RES	0.143	1257	9754
0	15	PINU.STR	0.143	1062	8201
0	15	POPU.TRE	0.167	985	6980
0	15	QUER.RUB	0.143	1179	14016
0	15	THUJ.SPP.ALL	0.091	900	6672
0	15	TSUG.CAN	0.1	627	6669
0	41	ABIE.BAL	0.125	694	3567
0	41	ACER.RUB	0.143	823	5863
0	41	ACER.SAH	0.125	790	7565
0	41	BETU.ALL	0.143	704	5760
0	41	BETU.PAP	0.25	468	3148
0	41	FAGU.GRA	0.125	1033	10451
0	41	LARI.LAR	0.143	327	2161
0	41	PICE.GLA	0.111	703	9375
0	41	PICE.MAR	0.083	793	7220
0	41	PICE.RUB	0.083	2656	11897
0	41	PINU.BAN	0.25	1086	8752
0	41	PINU.RES	0.167	1084	9928
0	41	PINU.STR	0.111	921	7599
0	41	POPU.TRE	0.143	883	6651
0	41	QUER.RUB	0.1	1169	13052
0	41	THUJ.SPP.ALL	0.1	568	5970
0	41	TSUG.CAN	0.077	527	6535
0	42	ABIE.BAL	0.125	608	2998
0	42	ACER.RUB	0.143	695	5556
0	42	ACER.SAH	0.1	2271	5227
0	42	BETU.ALL	0.125	634	5511
0	42	BETU.PAP	0.25	438	3061
0	42	FAGU.GRA	0.125	955	10158
0	42	LARI.LAR	0.167	240	1507
0	42	PICE.GLA	0.111	608	8482
0	42	PICE.MAR	0.083	658	5841
0	42	PICE.RUB	0.077	2513	12157
0	42	PINU.BAN	0.2	896	8729
0	42	PINU.RES	0.167	1019	9512
0	42	PINU.STR	0.143	840	7683
0	42	POPU.TRE	0.2	661	6240
0	42	QUER.RUB	0.1	1927	10601
0	42	THUJ.SPP.ALL	0.1	547	5981
0	42	TSUG.CAN	0.077	471	5870
0	43	ABIE.BAL	0.125	415	2725
0	43	ACER.RUB	0.143	578	5413
0	43	ACER.SAH	0.083	1445	4024
0	43	BETU.ALL	0.125	608	5170
0	43	BETU.PAP	0.25	354	2869
0	43	FAGU.GRA	0.125	936	10066
0	43	LARI.LAR	0.167	143	1189
0	43	PICE.GLA	0.111	660	7978
0	43	PICE.MAR	0.083	513	5254
0	43	PICE.RUB	0.083	2599	13934
0	43	PINU.BAN	0.167	922	8455
0	43	PINU.RES	0.143	990	9624
0	43	PINU.STR	0.143	842	7264
0	43	POPU.TRE	0.2	647	5956
0	43	QUER.RUB	0.1	2827	9353
0	43	THUJ.SPP.ALL	0.1	555	5923
0	43	TSUG.CAN	0.077	437	5805
0	44	ABIE.BAL	0.125	608	3403
0	44	ACER.RUB	0.143	791	5768
0	44	ACER.SAH	0.125	737	7155
0	44	BETU.ALL	0.125	738	5536
0	44	BETU.PAP	0.25	476	3232
0	44	FAGU.GRA	0.125	1035	10425
0	44	LARI.LAR	0.167	305	1997
0	44	PICE.GLA	0.111	656	9312
0	44	PICE.MAR	0.083	890	7053
0	44	PICE.RUB	0.091	3063	11810
0	44	PINU.BAN	0.167	1056	8637
0	44	PINU.RES	0.143	1149	9669
0	44	PINU.STR	0.143	931	7562
0	44	POPU.TRE	0.25	793	6612
0	44	QUER.RUB	0.111	1027	13546
0	44	THUJ.SPP.ALL	0.1	597	6301
0	44	TSUG.CAN	0.077	571	6489
0	45	ABIE.BAL	0.111	603	2950
0	45	ACER.RUB	0.25	731	5648
0	45	ACER.SAH	0.125	986	5355
0	45	BETU.ALL	0.125	717	5547
0	45	BETU.PAP	0.167	464	3098
0	45	FAGU.GRA	0.143	1051	10281
0	45	LARI.LAR	0.167	161	1607
0	45	PICE.GLA	0.111	668	9180
0	45	PICE.MAR	0.083	530	5578
0	45	PICE.RUB	0.083	1905	10709
0	45	PINU.BAN	0.167	1059	8681
0	45	PINU.RES	0.143	1169	9792
0	45	PINU.STR	0.167	901	7820
0	45	POPU.TRE	0.25	753	6414
0	45	QUER.RUB	0.125	3256	10177
0	45	THUJ.SPP.ALL	0.091	634	6361
0	45	TSUG.CAN	0.083	519	6416
0	46	ABIE.BAL	0.125	480	3096
0	46	ACER.RUB	0.143	679	5564
0	46	ACER.SAH	0.125	683	5534
0	46	BETU.ALL	0.125	636	5278
0	46	BETU.PAP	0.25	554	3038
0	46	FAGU.GRA	0.143	936	10469
0	46	LARI.LAR	0.167	212	1732
0	46	PICE.GLA	0.111	606	8499
0	46	PICE.MAR	0.083	622	6123
0	46	PICE.RUB	0.083	2567	11873
0	46	PINU.BAN	0.167	938	8623
0	46	PINU.RES	0.143	1005	9796
0	46	PINU.STR	0.143	857	7502
0	46	POPU.TRE	0.2	707	6229
0	46	QUER.RUB	0.111	2172	10799
0	46	THUJ.SPP.ALL	0.1	578	5967
0	46	TSUG.CAN	0.077	495	6046
0	47	ABIE.BAL	0.125	422	2498
0	47	ACER.RUB	0.25	854	5329
0	47	ACER.SAH	0.125	1184	4345
0	47	BETU.ALL	0.125	622	5307
0	47	BETU.PAP	0.167	416	2961
0	47	FAGU.GRA	0.143	957	10473
0	47	LARI.LAR	0.167	174	1336
0	47	PICE.GLA	0.111	671	8130
0	47	PICE.MAR	0.083	437	5125
0	47	PICE.RUB	0.083	2203	11178
0	47	PINU.BAN	0.167	951	8440
0	47	PINU.RES	0.143	1003	9571
0	47	PINU.STR	0.167	823	7560
0	47	POPU.TRE	0.25	649	6115
0	47	QUER.RUB	0.125	2237	9581
0	47	THUJ.SPP.ALL	0.091	625	6202
0	47	TSUG.CAN	0.091	443	5732
0	48	ABIE.BAL	0.111	697	3070
0	48	ACER.RUB	0.25	843	5722
0	48	ACER.SAH	0.125	791	6011
0	48	BETU.ALL	0.125	656	5657
0	48	BETU.PAP	0.167	474	3082
0	48	FAGU.GRA	0.143	1013	10133
0	48	LARI.LAR	0.167	223	1766
0	48	PICE.GLA	0.111	643	9081
0	48	PICE.MAR	0.083	495	6155
0	48	PICE.RUB	0.083	3145	11379
0	48	PINU.BAN	0.167	990	8711
0	48	PINU.RES	0.143	1111	9836
0	48	PINU.STR	0.167	874	7998
0	48	POPU.TRE	0.25	865	6370
0	48	QUER.RUB	0.125	945	11800
0	48	THUJ.SPP.ALL	0.091	665	6399
0	48	TSUG.CAN	0.091	515	6292
0	49	ABIE.BAL	0.111	662	2950
0	49	ACER.RUB	0.25	874	5748
0	49	ACER.SAH	0.125	1015	5644
0	49	BETU.ALL	0.125	755	5896
0	49	BETU.PAP	0.167	494	3179
0	49	FAGU.GRA	0.143	1160	10559
0	49	LARI.LAR	0.143	295	1879
0	49	PICE.GLA	0.111	746	9473
0	49	PICE.MAR	0.083	552	5931
0	49	PICE.RUB	0.083	2598	11215
0	49	PINU.BAN	0.167	1136	8655
0	49	PINU.RES	0.143	1214	9906
0	49	PINU.STR	0.167	1016	7969
0	49	POPU.TRE	0.25	887	6528
0	49	QUER.RUB	0.125	1340	11413
0	49	THUJ.SPP.ALL	0.091	808	6612
0	49	TSUG.CAN	0.091	580	6079
0	50	ABIE.BAL	0.125	882	3325
0	50	ACER.RUB	0.143	773	5770
0	50	ACER.SAH	0.125	639	6805
0	50	BETU.ALL	0.143	649	5712
0	50	BETU.PAP	0.25	476	3168
0	50	FAGU.GRA	0.125	978	11115
0	50	LARI.LAR	0.167	346	2078
0	50	PICE.GLA	0.111	692	9227
0	50	PICE.MAR	0.083	642	6897
0	50	PICE.RUB	0.091	2898	11878
0	50	PINU.BAN	0.167	986	8770
0	50	PINU.RES	0.167	1090	10215
0	50	PINU.STR	0.143	874	8105
0	50	POPU.TRE	0.2	755	6531
0	50	QUER.RUB	0.1	2101	11846
0	50	THUJ.SPP.ALL	0.1	635	6335
0	50	TSUG.CAN	0.077	528	6528
0	51	ABIE.BAL	0.125	539	3831
0	51	ACER.RUB	0.143	953	6448
0	51	ACER.SAH	0.125	882	8314
0	51	BETU.ALL	0.143	806	6058
0	51	BETU.PAP	0.25	542	3442
0	51	FAGU.GRA	0.125	1205	10745
0	51	LARI.LAR	0.143	329	2518
0	51	PICE.GLA	0.111	849	10312
0	51	PICE.MAR	0.083	1074	8029
0	51	PICE.RUB	0.091	2229	12475
0	51	PINU.BAN	0.167	1217	9113
0	51	PINU.RES	0.167	1268	10186
0	51	PINU.STR	0.143	1026	8283
0	51	POPU.TRE	0.2	1037	7112
0	51	QUER.RUB	0.1	1281	14835
0	51	THUJ.SPP.ALL	0.1	732	6791
0	51	TSUG.CAN	0.077	667	6761
0	52	ABIE.BAL	0.125	768	3362
0	52	ACER.RUB	0.25	824	5659
0	52	ACER.SAH	0.125	817	7069
0	52	BETU.ALL	0.125	739	5706
0	52	BETU.PAP	0.167	473	3129
0	52	FAGU.GRA	0.143	1017	10461
0	52	LARI.LAR	0.167	332	2203
0	52	PICE.GLA	0.111	704	9271
0	52	PICE.MAR	0.083	885	6865
0	52	PICE.RUB	0.083	3454	11696
0	52	PINU.BAN	0.167	1098	8688
0	52	PINU.RES	0.143	1132	9659
0	52	PINU.STR	0.143	927	8005
0	52	POPU.TRE	0.25	837	6562
0	52	QUER.RUB	0.111	1160	13206
0	52	THUJ.SPP.ALL	0.091	692	6464
0	52	TSUG.CAN	0.091	560	6935
0	53	ABIE.BAL	0.125	599	3835
0	53	ACER.RUB	0.143	959	6062
0	53	ACER.SAH	0.125	998	8260
0	53	BETU.ALL	0.125	883	5953
0	53	BETU.PAP	0.25	561	3392
0	53	FAGU.GRA	0.125	1245	10715
0	53	LARI.LAR	0.167	410	2570
0	53	PICE.GLA	0.111	869	10188
0	53	PICE.MAR	0.083	831	7888
0	53	PICE.RUB	0.083	2469	12591
0	53	PINU.BAN	0.167	1223	8940
0	53	PINU.RES	0.143	1309	10215
0	53	PINU.STR	0.143	1084	8290
0	53	POPU.TRE	0.2	1050	7081
0	53	QUER.RUB	0.111	1268	14458
0	53	THUJ.SPP.ALL	0.1	786	6459
0	53	TSUG.CAN	0.077	719	6968
0	54	ABIE.BAL	0.111	660	3798
0	54	ACER.RUB	0.25	834	6144
0	54	ACER.SAH	0.125	885	8536
0	54	BETU.ALL	0.125	819	6080
0	54	BETU.PAP	0.167	572	3334
0	54	FAGU.GRA	0.143	1174	10348
0	54	LARI.LAR	0.167	383	2510
0	54	PICE.GLA	0.111	875	10798
0	54	PICE.MAR	0.083	862	7801
0	54	PICE.RUB	0.083	3197	12436
0	54	PINU.BAN	0.167	1177	8885
