LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.643475324

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.859746925

>>	year	landtype	species	probEst	maxANPP	maxB

0	1	ABIE.BAL	0.111	593	3461
0	1	ACER.RUB	0.167	887	6035
0	1	ACER.SAH	0.111	835	7491
0	1	BETU.ALL	0.125	950	6184
0	1	BETU.PAP	0.25	587	3369
0	1	FAGU.GRA	0.125	1228	11384
0	1	LARI.LAR	0.143	322	2549
0	1	PICE.GLA	0.111	1040	10294
0	1	PICE.MAR	0.083	858	7296
0	1	PICE.RUB	0.091	2124	11951
0	1	PINU.BAN	0.2	1196	8915
0	1	PINU.RES	0.2	1241	10025
0	1	PINU.STR	0.143	1048	8097
0	1	POPU.TRE	0.167	1053	6924
0	1	QUER.RUB	0.1	936	13361
0	1	THUJ.SPP.ALL	0.091	968	7015
0	1	TSUG.CAN	0.091	676	6706
0	2	ABIE.BAL	0.125	714	3461
0	2	ACER.RUB	0.167	855	5935
0	2	ACER.SAH	0.111	665	6713
0	2	BETU.ALL	0.125	810	5996
0	2	BETU.PAP	0.25	569	3355
0	2	FAGU.GRA	0.125	1196	11204
0	2	LARI.LAR	0.167	459	2540
0	2	PICE.GLA	0.111	985	10451
0	2	PICE.MAR	0.1	652	7098
0	2	PICE.RUB	0.091	2051	11935
0	2	PINU.BAN	0.2	1171	8911
0	2	PINU.RES	0.167	1273	10220
0	2	PINU.STR	0.143	990	8101
0	2	POPU.TRE	0.167	963	6960
0	2	QUER.RUB	0.125	2815	11432
0	2	THUJ.SPP.ALL	0.091	951	7007
0	2	TSUG.CAN	0.077	693	6540
0	3	ABIE.BAL	0.143	580	3697
0	3	ACER.RUB	0.167	947	6193
0	3	ACER.SAH	0.143	948	8173
0	3	BETU.ALL	0.143	904	6117
0	3	BETU.PAP	0.25	575	3401
0	3	FAGU.GRA	0.125	1260	10747
0	3	LARI.LAR	0.2	469	2853
0	3	PICE.GLA	0.125	1022	10574
0	3	PICE.MAR	0.083	819	8023
0	3	PICE.RUB	0.091	2409	12293
0	3	PINU.BAN	0.2	1207	8868
0	3	PINU.RES	0.2	1268	10454
0	3	PINU.STR	0.143	1087	8212
0	3	POPU.TRE	0.2	1098	7121
0	3	QUER.RUB	0.143	1407	13702
0	3	THUJ.SPP.ALL	0.091	988	6957
0	3	TSUG.CAN	0.091	736	6784
0	8	ABIE.BAL	0.143	549	4186
0	8	ACER.RUB	0.167	1005	6376
0	8	ACER.SAH	0.143	948	8873
0	8	BETU.ALL	0.143	976	6456
0	8	BETU.PAP	0.25	610	3443
0	8	FAGU.GRA	0.125	1305	10426
0	8	LARI.LAR	0.2	449	3219
0	8	PICE.GLA	0.125	1075	10784
0	8	PICE.MAR	0.1	970	8980
0	8	PICE.RUB	0.091	2170	13243
0	8	PINU.BAN	0.2	1222	9115
0	8	PINU.RES	0.167	1308	10257
0	8	PINU.STR	0.143	1095	8627
0	8	POPU.TRE	0.2	1134	7284
0	8	QUER.RUB	0.143	1626	16019
0	8	THUJ.SPP.ALL	0.091	1021	7032
0	8	TSUG.CAN	0.091	797	7208
0	9	ABIE.BAL	0.143	716	3896
0	9	ACER.RUB	0.167	972	6210
0	9	ACER.SAH	0.143	1204	8320
0	9	BETU.ALL	0.143	896	5939
0	9	BETU.PAP	0.25	567	3502
0	9	FAGU.GRA	0.125	1254	10593
0	9	LARI.LAR	0.2	481	3089
0	9	PICE.GLA	0.125	1035	10547
0	9	PICE.MAR	0.1	929	8398
0	9	PICE.RUB	0.091	1705	12839
0	9	PINU.BAN	0.2	1177	9073
0	9	PINU.RES	0.167	1288	10025
0	9	PINU.STR	0.143	1088	8162
0	9	POPU.TRE	0.2	1134	7264
0	9	QUER.RUB	0.143	1531	15328
0	9	THUJ.SPP.ALL	0.091	990	7134
0	9	TSUG.CAN	0.091	737	6877
0	10	ABIE.BAL	0.125	679	3621
0	10	ACER.RUB	0.167	744	5726
0	10	ACER.SAH	0.125	683	7382
0	10	BETU.ALL	0.125	748	5699
0	10	BETU.PAP	0.2	504	3306
0	10	FAGU.GRA	0.125	1050	10055
0	10	LARI.LAR	0.167	248	2537
0	10	PICE.GLA	0.111	842	9520
0	10	PICE.MAR	0.091	631	7512
0	10	PICE.RUB	0.091	2173	12010
0	10	PINU.BAN	0.167	1096	8782
0	10	PINU.RES	0.143	1196	9796
0	10	PINU.STR	0.143	855	7489
0	10	POPU.TRE	0.167	885	6675
0	10	QUER.RUB	0.125	1033	12404
0	10	THUJ.SPP.ALL	0.091	797	6747
0	10	TSUG.CAN	0.077	607	6070
0	11	ABIE.BAL	0.125	528	3844
0	11	ACER.RUB	0.167	867	6118
0	11	ACER.SAH	0.125	846	8192
0	11	BETU.ALL	0.125	971	6130
0	11	BETU.PAP	0.2	586	3441
0	11	FAGU.GRA	0.125	1216	10151
0	11	LARI.LAR	0.143	370	2827
0	11	PICE.GLA	0.111	1014	10601
0	11	PICE.MAR	0.091	856	8164
0	11	PICE.RUB	0.091	1709	12292
0	11	PINU.BAN	0.167	1239	8935
0	11	PINU.RES	0.143	1340	10068
0	11	PINU.STR	0.143	986	7973
0	11	POPU.TRE	0.167	1100	6929
0	11	QUER.RUB	0.125	1235	13300
0	11	THUJ.SPP.ALL	0.091	987	7165
0	11	TSUG.CAN	0.077	706	6929
0	12	ABIE.BAL	0.125	564	3677
0	12	ACER.RUB	0.143	766	5900
0	12	ACER.SAH	0.125	1057	7966
0	12	BETU.ALL	0.125	816	5950
0	12	BETU.PAP	0.167	541	3355
0	12	FAGU.GRA	0.125	1072	10277
0	12	LARI.LAR	0.167	319	2538
0	12	PICE.GLA	0.111	920	10597
0	12	PICE.MAR	0.091	737	7897
0	12	PICE.RUB	0.091	1790	12508
0	12	PINU.BAN	0.167	1152	8832
0	12	PINU.RES	0.143	1262	10023
0	12	PINU.STR	0.125	893	7708
0	12	POPU.TRE	0.167	932	6812
0	12	QUER.RUB	0.111	1457	11238
0	12	THUJ.SPP.ALL	0.091	833	6563
0	12	TSUG.CAN	0.071	562	6302
0	13	ABIE.BAL	0.125	511	3868
0	13	ACER.RUB	0.167	851	5997
0	13	ACER.SAH	0.125	1320	8297
0	13	BETU.ALL	0.125	904	6089
0	13	BETU.PAP	0.2	604	3482
0	13	FAGU.GRA	0.125	1208	10641
0	13	LARI.LAR	0.167	405	2804
0	13	PICE.GLA	0.111	1059	10825
0	13	PICE.MAR	0.091	791	8363
0	13	PICE.RUB	0.091	1740	12622
0	13	PINU.BAN	0.167	1234	9065
0	13	PINU.RES	0.143	1345	10040
0	13	PINU.STR	0.143	977	7966
0	13	POPU.TRE	0.167	1127	7161
0	13	QUER.RUB	0.125	1409	13991
0	13	THUJ.SPP.ALL	0.091	972	6960
0	13	TSUG.CAN	0.077	694	6821
0	14	ABIE.BAL	0.125	541	3876
0	14	ACER.RUB	0.167	828	5954
0	14	ACER.SAH	0.125	1114	8671
0	14	BETU.ALL	0.125	874	5887
0	14	BETU.PAP	0.2	566	3428
0	14	FAGU.GRA	0.125	1086	10266
0	14	LARI.LAR	0.167	354	2822
0	14	PICE.GLA	0.111	970	10471
0	14	PICE.MAR	0.091	862	8641
0	14	PICE.RUB	0.091	2323	12588
0	14	PINU.BAN	0.167	1188	9023
0	14	PINU.RES	0.143	1264	10240
0	14	PINU.STR	0.143	903	7594
0	14	POPU.TRE	0.167	999	7087
0	14	QUER.RUB	0.125	1323	13984
0	14	THUJ.SPP.ALL	0.091	849	6716
0	14	TSUG.CAN	0.077	594	6668
0	15	ABIE.BAL	0.125	534	4088
0	15	ACER.RUB	0.167	925	6040
0	15	ACER.SAH	0.125	1150	8521
0	15	BETU.ALL	0.125	943	6020
0	15	BETU.PAP	0.2	627	3530
0	15	FAGU.GRA	0.125	1248	10724
0	15	LARI.LAR	0.167	389	3046
0	15	PICE.GLA	0.111	1097	10906
0	15	PICE.MAR	0.091	877	8904
0	15	PICE.RUB	0.091	1679	12904
0	15	PINU.BAN	0.167	1263	9022
0	15	PINU.RES	0.143	1357	10298
0	15	PINU.STR	0.143	1008	7841
0	15	POPU.TRE	0.167	1160	7120
0	15	QUER.RUB	0.125	1440	15019
0	15	THUJ.SPP.ALL	0.091	992	7103
0	15	TSUG.CAN	0.077	728	6741
0	41	ABIE.BAL	0.125	504	3872
0	41	ACER.RUB	0.125	653	5572
0	41	ACER.SAH	0.111	1021	8278
0	41	BETU.ALL	0.111	780	6089
0	41	BETU.PAP	0.167	505	3295
0	41	FAGU.GRA	0.111	883	10373
0	41	LARI.LAR	0.167	324	2451
0	41	PICE.GLA	0.111	770	9599
0	41	PICE.MAR	0.091	824	8696
0	41	PICE.RUB	0.077	2113	12155
0	41	PINU.BAN	0.167	962	8744
0	41	PINU.RES	0.143	1103	9777
0	41	PINU.STR	0.083	500	5891
0	41	POPU.TRE	0.167	865	6688
0	41	QUER.RUB	0.067	1055	10991
0	41	THUJ.SPP.ALL	0.083	554	6015
0	41	TSUG.CAN	0.056	375	5204
0	42	ABIE.BAL	0.125	655	3569
0	42	ACER.RUB	0.125	574	5376
0	42	ACER.SAH	0.111	676	6844
0	42	BETU.ALL	0.125	626	5659
0	42	BETU.PAP	0.167	422	3187
0	42	FAGU.GRA	0.111	855	9985
0	42	LARI.LAR	0.167	299	1999
0	42	PICE.GLA	0.111	676	9265
0	42	PICE.MAR	0.091	629	7332
0	42	PICE.RUB	0.077	2493	11765
0	42	PINU.BAN	0.167	936	8791
0	42	PINU.RES	0.143	1070	9758
0	42	PINU.STR	0.083	508	5921
0	42	POPU.TRE	0.167	716	6552
0	42	QUER.RUB	0.071	1638	9591
0	42	THUJ.SPP.ALL	0.091	537	6007
0	42	TSUG.CAN	0.059	364	4935
0	43	ABIE.BAL	0.111	722	3253
0	43	ACER.RUB	0.143	549	5122
0	43	ACER.SAH	0.1	633	6261
0	43	BETU.ALL	0.125	628	5630
0	43	BETU.PAP	0.167	413	3026
0	43	FAGU.GRA	0.111	873	10184
0	43	LARI.LAR	0.167	301	1884
0	43	PICE.GLA	0.111	656	9000
0	43	PICE.MAR	0.091	714	6980
0	43	PICE.RUB	0.077	2688	11760
0	43	PINU.BAN	0.167	918	8523
0	43	PINU.RES	0.143	1067	9596
0	43	PINU.STR	0.111	643	6376
0	43	POPU.TRE	0.167	673	6208
0	43	QUER.RUB	0.077	1783	9547
0	43	THUJ.SPP.ALL	0.091	591	5946
0	43	TSUG.CAN	0.062	345	5286
0	44	ABIE.BAL	0.125	575	3842
0	44	ACER.RUB	0.143	725	5648
0	44	ACER.SAH	0.111	891	8383
0	44	BETU.ALL	0.125	770	5784
0	44	BETU.PAP	0.167	526	3343
0	44	FAGU.GRA	0.111	994	10328
0	44	LARI.LAR	0.167	281	2413
0	44	PICE.GLA	0.111	827	9722
0	44	PICE.MAR	0.091	798	8468
0	44	PICE.RUB	0.077	1703	12166
0	44	PINU.BAN	0.167	970	8698
0	44	PINU.RES	0.143	1166	9751
0	44	PINU.STR	0.111	728	7051
0	44	POPU.TRE	0.167	934	6765
0	44	QUER.RUB	0.083	928	11804
0	44	THUJ.SPP.ALL	0.091	642	6128
0	44	TSUG.CAN	0.062	424	5692
0	45	ABIE.BAL	0.125	580	3621
0	45	ACER.RUB	0.143	725	5739
0	45	ACER.SAH	0.111	941	7672
0	45	BETU.ALL	0.125	747	5804
0	45	BETU.PAP	0.167	499	3293
0	45	FAGU.GRA	0.111	1075	10592
0	45	LARI.LAR	0.143	274	2160
0	45	PICE.GLA	0.111	826	9949
0	45	PICE.MAR	0.091	710	7612
0	45	PICE.RUB	0.091	2234	11731
0	45	PINU.BAN	0.167	1093	8697
0	45	PINU.RES	0.143	1222	9969
0	45	PINU.STR	0.125	860	7657
0	45	POPU.TRE	0.167	902	6724
0	45	QUER.RUB	0.1	1035	11608
0	45	THUJ.SPP.ALL	0.091	701	6300
0	45	TSUG.CAN	0.071	538	6140
0	46	ABIE.BAL	0.125	699	3489
0	46	ACER.RUB	0.143	709	5337
0	46	ACER.SAH	0.111	698	7406
0	46	BETU.ALL	0.125	660	5586
0	46	BETU.PAP	0.167	459	3235
0	46	FAGU.GRA	0.111	908	9875
0	46	LARI.LAR	0.167	283	2144
0	46	PICE.GLA	0.111	702	9191
0	46	PICE.MAR	0.091	663	7413
0	46	PICE.RUB	0.077	1306	11269
0	46	PINU.BAN	0.167	971	8715
0	46	PINU.RES	0.143	1089	9680
0	46	PINU.STR	0.111	703	6779
0	46	POPU.TRE	0.167	808	6548
0	46	QUER.RUB	0.083	1322	10589
0	46	THUJ.SPP.ALL	0.091	615	6163
0	46	TSUG.CAN	0.062	392	5240
0	47	ABIE.BAL	0.111	545	3305
0	47	ACER.RUB	0.143	618	5481
0	47	ACER.SAH	0.111	700	6369
0	47	BETU.ALL	0.125	705	5677
0	47	BETU.PAP	0.167	449	3158
0	47	FAGU.GRA	0.111	965	10141
0	47	LARI.LAR	0.167	277	2045
0	47	PICE.GLA	0.111	756	9209
0	47	PICE.MAR	0.083	565	7179
0	47	PICE.RUB	0.077	2091	11807
0	47	PINU.BAN	0.167	987	8604
0	47	PINU.RES	0.143	1115	9787
0	47	PINU.STR	0.125	735	7048
0	47	POPU.TRE	0.167	782	6486
0	47	QUER.RUB	0.091	1446	10028
0	47	THUJ.SPP.ALL	0.091	701	6345
0	47	TSUG.CAN	0.071	447	5335
0	48	ABIE.BAL	0.125	519	3749
0	48	ACER.RUB	0.143	761	5686
0	48	ACER.SAH	0.111	983	7961
0	48	BETU.ALL	0.125	789	5793
0	48	BETU.PAP	0.167	503	3299
0	48	FAGU.GRA	0.111	1056	10412
0	48	LARI.LAR	0.167	362	2449
0	48	PICE.GLA	0.111	857	10038
0	48	PICE.MAR	0.091	726	7996
0	48	PICE.RUB	0.091	1397	11954
0	48	PINU.BAN	0.167	1051	8856
0	48	PINU.RES	0.143	1169	10002
0	48	PINU.STR	0.125	822	7310
0	48	POPU.TRE	0.167	858	6750
0	48	QUER.RUB	0.1	1222	12218
0	48	THUJ.SPP.ALL	0.091	717	6606
0	48	TSUG.CAN	0.071	488	6056
0	49	ABIE.BAL	0.125	521	3755
0	49	ACER.RUB	0.143	832	5964
0	49	ACER.SAH	0.125	1763	8482
0	49	BETU.ALL	0.125	905	6163
0	49	BETU.PAP	0.2	561	3422
0	49	FAGU.GRA	0.125	1092	10418
0	49	LARI.LAR	0.143	313	2533
0	49	PICE.GLA	0.111	1021	10321
0	49	PICE.MAR	0.091	823	8121
0	49	PICE.RUB	0.091	2170	12644
0	49	PINU.BAN	0.167	1212	8871
0	49	PINU.RES	0.143	1290	10269
0	49	PINU.STR	0.125	934	7825
0	49	POPU.TRE	0.167	1006	7022
0	49	QUER.RUB	0.111	1516	12123
0	49	THUJ.SPP.ALL	0.091	882	6786
0	49	TSUG.CAN	0.071	624	6151
0	50	ABIE.BAL	0.125	513	3679
0	50	ACER.RUB	0.125	676	5475
0	50	ACER.SAH	0.111	879	8090
0	50	BETU.ALL	0.125	692	5853
0	50	BETU.PAP	0.167	498	3295
0	50	FAGU.GRA	0.111	894	10384
0	50	LARI.LAR	0.167	365	2385
0	50	PICE.GLA	0.111	752	10031
0	50	PICE.MAR	0.091	753	8244
0	50	PICE.RUB	0.077	1723	12020
0	50	PINU.BAN	0.167	988	8754
0	50	PINU.RES	0.143	1112	9807
0	50	PINU.STR	0.091	588	6132
0	50	POPU.TRE	0.167	824	6794
0	50	QUER.RUB	0.077	1020	10299
0	50	THUJ.SPP.ALL	0.091	654	6277
0	50	TSUG.CAN	0.059	364	5165
0	51	ABIE.BAL	0.125	556	4093
0	51	ACER.RUB	0.125	787	5791
0	51	ACER.SAH	0.111	958	8352
0	51	BETU.ALL	0.125	846	6114
0	51	BETU.PAP	0.167	585	3523
0	51	FAGU.GRA	0.111	1076	10351
0	51	LARI.LAR	0.167	335	2808
0	51	PICE.GLA	0.111	998	10346
0	51	PICE.MAR	0.091	878	9332
0	51	PICE.RUB	0.077	1492	13008
0	51	PINU.BAN	0.167	1160	8927
0	51	PINU.RES	0.143	1275	9999
0	51	PINU.STR	0.083	671	6580
0	51	POPU.TRE	0.167	1068	7056
0	51	QUER.RUB	0.077	901	12088
0	51	THUJ.SPP.ALL	0.091	736	6572
0	51	TSUG.CAN	0.059	429	5614
0	52	ABIE.BAL	0.125	474	3911
0	52	ACER.RUB	0.143	755	5838
0	52	ACER.SAH	0.125	998	8307
0	52	BETU.ALL	0.125	762	5836
0	52	BETU.PAP	0.167	535	3339
0	52	FAGU.GRA	0.111	1048	10270
0	52	LARI.LAR	0.167	347	2653
0	52	PICE.GLA	0.111	847	10258
0	52	PICE.MAR	0.091	778	8581
0	52	PICE.RUB	0.091	1533	12543
0	52	PINU.BAN	0.167	1071	8786
0	52	PINU.RES	0.143	1197	9855
0	52	PINU.STR	0.125	799	7190
0	52	POPU.TRE	0.167	932	6854
0	52	QUER.RUB	0.091	1260	12662
0	52	THUJ.SPP.ALL	0.091	740	6651
0	52	TSUG.CAN	0.071	459	5963
0	53	ABIE.BAL	0.125	606	4218
0	53	ACER.RUB	0.143	829	5968
0	53	ACER.SAH	0.125	1171	8620
0	53	BETU.ALL	0.125	934	6010
0	53	BETU.PAP	0.167	627	3536
0	53	FAGU.GRA	0.111	1165	10539
0	53	LARI.LAR	0.167	372	2917
0	53	PICE.GLA	0.111	1098	10763
0	53	PICE.MAR	0.091	941	9545
0	53	PICE.RUB	0.077	2285	12735
0	53	PINU.BAN	0.167	1214	8944
0	53	PINU.RES	0.143	1303	10337
0	53	PINU.STR	0.125	828	7243
0	53	POPU.TRE	0.167	1149	7172
0	53	QUER.RUB	0.083	1257	13629
0	53	THUJ.SPP.ALL	0.091	802	6710
0	53	TSUG.CAN	0.062	542	6211
0	54	ABIE.BAL	0.125	569	4147
0	54	ACER.RUB	0.143	834	6011
0	54	ACER.SAH	0.125	998	8673
0	54	BETU.ALL	0.125	921	6310
0	54	BETU.PAP	0.167	604	3470
0	54	FAGU.GRA	0.125	1089	10755
0	54	LARI.LAR	0.167	353	2873
0	54	PICE.GLA	0.111	1039	10812
0	54	PICE.MAR	0.091	898	9471
0	54	PICE.RUB	0.091	2360	12751
