LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	90	1.758
0	91	1.759
0	92	1.751
0	93	1.757
0	94	1.508
0	95	1.437
0	100	1.017
0	101	1.01
0	102	1.023
0	182	1.329
0	183	1.306
0	184	0.812
0	185	0.87
0	186	1.293
0	187	1.211
0	188	1.318
0	189	0.592
0	190	0.533
0	191	1.004
0	192	1.099
0	193	0.907
0	194	0.914
0	195	0.633
0	196	0.684
0	197	0.952
0	198	0.935
0	275	0.254
0	276	0.255
0	277	0.223
0	278	0.211
0	283	0.629
0	284	0.608
0	288	0.591
0	289	0.533
1	90	3.628
1	91	3.628
1	92	3.658
1	93	3.663
1	94	3.482
1	95	3.398
1	100	2.872
1	101	2.855
1	102	2.898
1	182	3.153
1	183	3.119
1	184	2.401
1	185	2.495
1	186	3.122
1	187	3.047
1	188	3.143
1	189	2.388
1	190	2.299
1	191	2.945
1	192	3.103
1	193	2.551
1	194	2.563
1	195	2.344
1	196	2.388
1	197	2.554
1	198	2.538
1	275	1.986
1	276	2.005
1	277	1.939
1	278	1.934
1	283	2.468
1	284	2.45
1	288	2.376
1	289	2.297
11	90	4.193
11	91	4.192
11	92	4.25
11	93	4.255
11	94	4.098
11	95	4.014
11	100	3.492
11	101	3.475
11	102	3.519
11	182	3.712
11	183	3.681
11	184	2.98
11	185	3.071
11	186	3.702
11	187	3.627
11	188	3.723
11	189	2.985
11	190	2.895
11	191	3.55
11	192	3.706
11	193	3.166
11	194	3.178
11	195	2.947
11	196	2.992
11	197	3.166
11	198	3.15
11	275	2.581
11	276	2.603
11	277	2.538
11	278	2.533
11	283	3.071
11	284	3.053
11	288	2.97
11	289	2.892
21	90	4.776
21	91	4.775
21	92	4.816
21	93	4.822
21	94	4.645
21	95	4.562
21	100	4.043
21	101	4.026
21	102	4.069
21	182	4.3
21	183	4.267
21	184	3.567
21	185	3.658
21	186	4.279
21	187	4.204
21	188	4.299
21	189	3.577
21	190	3.489
21	191	4.117
21	192	4.27
21	193	3.729
21	194	3.741
21	195	3.528
21	196	3.571
21	197	3.736
21	198	3.72
21	275	3.17
21	276	3.191
21	277	3.122
21	278	3.117
21	283	3.67
21	284	3.652
21	288	3.573
21	289	3.491
31	90	5.58
31	91	5.58
31	92	5.609
31	93	5.615
31	94	5.424
31	95	5.34
31	100	4.815
31	101	4.798
31	102	4.841
31	182	5.103
31	183	5.069
31	184	4.366
31	185	4.459
31	186	5.07
31	187	4.994
31	188	5.09
31	189	4.357
31	190	4.271
31	191	4.893
31	192	5.049
31	193	4.498
31	194	4.51
31	195	4.296
31	196	4.34
31	197	4.503
31	198	4.487
31	275	3.962
31	276	3.981
31	277	3.918
31	278	3.913
31	283	4.437
31	284	4.42
31	288	4.341
31	289	4.259
41	90	6.422
41	91	6.421
41	92	6.45
41	93	6.456
41	94	6.27
41	95	6.187
41	100	5.671
41	101	5.654
41	102	5.696
41	182	5.949
41	183	5.915
41	184	5.22
41	185	5.311
41	186	5.917
41	187	5.842
41	188	5.938
41	189	5.214
41	190	5.128
41	191	5.744
41	192	5.898
41	193	5.353
41	194	5.365
41	195	5.149
41	196	5.193
41	197	5.357
41	198	5.341
41	275	4.816
41	276	4.835
41	277	4.772
41	278	4.766
41	283	5.293
41	284	5.275
41	288	5.194
41	289	5.112
51	90	7.426
51	91	7.425
51	92	7.461
51	93	7.466
51	94	7.303
51	95	7.223
51	100	6.716
51	101	6.7
51	102	6.741
51	182	6.973
51	183	6.942
51	184	6.279
51	185	6.364
51	186	6.954
51	187	6.882
51	188	6.974
51	189	6.281
51	190	6.199
51	191	6.794
51	192	6.945
51	193	6.399
51	194	6.411
51	195	6.199
51	196	6.242
51	197	6.401
51	198	6.385
51	275	5.892
51	276	5.912
51	277	5.856
51	278	5.85
51	283	6.352
51	284	6.335
51	288	6.249
51	289	6.166
61	90	8.21
61	91	8.21
61	92	8.23
61	93	8.235
61	94	8.078
61	95	7.999
61	100	7.496
61	101	7.479
61	102	7.521
61	182	7.771
61	183	7.74
61	184	7.083
61	185	7.167
61	186	7.743
61	187	7.671
61	188	7.763
61	189	7.098
61	190	7.019
61	191	7.58
61	192	7.729
61	193	7.185
61	194	7.197
61	195	6.999
61	196	7.041
61	197	7.194
61	198	7.178
61	275	6.72
61	276	6.743
61	277	6.686
61	278	6.682
61	283	7.199
61	284	7.183
61	288	7.075
61	289	6.987
