LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	90	1.758
0	91	1.759
0	92	1.751
0	93	1.757
0	94	1.508
0	95	1.437
0	100	1.017
0	101	1.01
0	102	1.023
0	182	1.329
0	183	1.306
0	184	0.812
0	185	0.87
0	186	1.293
0	187	1.211
0	188	1.318
0	189	0.592
0	190	0.533
0	191	1.004
0	192	1.099
0	193	0.907
0	194	0.914
0	195	0.633
0	196	0.684
0	197	0.952
0	198	0.935
0	275	0.254
0	276	0.255
0	277	0.223
0	278	0.211
0	283	0.629
0	284	0.608
0	288	0.591
0	289	0.533
