"VEG_POT","REG_ECO","ind","supTot","codInd"
"RE2","6p","RE2_6p",376.125,1
"RE1","6p","RE1_6p",133,2
"RE3","6p","RE3_6p",46.875,3
"RS2","6p","RS2_6p",294.8125,4
"RS2","6k","RS2_6k",2838.0625,5
"RE2","6k","RE2_6k",1948.25,6
"RE1","6k","RE1_6k",605.1875,7
"RS2","6q","RS2_6q",186.3125,8
"RE2","6q","RE2_6q",138.625,9
"RE3","6k","RE3_6k",327.625,10
"RE3","6q","RE3_6q",30.25,11
"RE1","6q","RE1_6q",97.875,12
"MS2","6q","MS2_6q",6.9375,13
"MS2","6k","MS2_6k",131.3125,14
"MS2","6p","MS2_6p",7.8125,15
"RE4","6p","RE4_6p",0.0625,16
"RS2","6l","RS2_6l",4596.375,17
"RE1","6g","RE1_6g",1325.75,18
"RE2","6g","RE2_6g",6203.6875,19
"RE3","6g","RE3_6g",914.8125,20
"RE2","6l","RE2_6l",864.875,21
"MS2","6l","MS2_6l",145.4375,22
"RS2","6g","RS2_6g",3421,23
"MS2","6g","MS2_6g",82.875,24
"RE2","7h","RE2_7h",1.5,25
"RE1","7h","RE1_7h",1.0625,26
"RE1","6l","RE1_6l",380,27
"RE3","6l","RE3_6l",155.25,28
"RE2","6s","RE2_6s",520.375,29
"RS2","6r","RS2_6r",374.5,30
"RE2","6r","RE2_6r",44.6875,31
"RS2","6s","RS2_6s",3083.125,32
"MS2","6r","MS2_6r",8.4375,33
"RE1","6s","RE1_6s",114.0625,34
"RE3","6s","RE3_6s",76.8125,35
"RE1","6r","RE1_6r",8.875,36
"RE4","6r","RE4_6r",0.1875,37
"RE3","6r","RE3_6r",8.3125,38
"RS2","6j","RS2_6j",10276,39
"RE2","6j","RE2_6j",987.4375,40
"RE1","6j","RE1_6j",70.8125,41
"MS2","6j","MS2_6j",1686.75,42
"RE3","6j","RE3_6j",145.375,43
"RE2","6f","RE2_6f",1208.75,44
"RE1","6f","RE1_6f",95.4375,45
"RE3","6f","RE3_6f",237.6875,46
"RS2","6f","RS2_6f",795.4375,47
"LA2","6g","LA2_6g",0.4375,48
"RE3","7h","RE3_7h",0.1875,49
"MS2","6s","MS2_6s",62.1875,50
"RE2","6d","RE2_6d",4222.0625,51
"RS2","6d","RS2_6d",2297.6875,52
"RE2","6a","RE2_6a",6438,53
"RE3","6a","RE3_6a",7220.0625,54
"RE1","6d","RE1_6d",188.9375,55
"RE3","6d","RE3_6d",865.3125,56
"RE4","6l","RE4_6l",0.3125,57
"RE4","6j","RE4_6j",0.5,58
"RS2","6a","RS2_6a",3946.6875,59
"MS2","6a","MS2_6a",864.8125,60
"MS2","6f","MS2_6f",86.5625,61
"MS2","6d","MS2_6d",30.8125,62
"RE1","6a","RE1_6a",99.8125,63
"RE2","6i","RE2_6i",1417.25,64
"RS2","6i","RS2_6i",10539.8125,65
"RE3","6i","RE3_6i",167.5,66
"RE4","6s","RE4_6s",5.5,67
"RE1","6i","RE1_6i",163.5625,68
"MS2","6i","MS2_6i",668.1875,69
"RE4","6k","RE4_6k",0.1875,70
"ME1","6a","ME1_6a",2159.3125,71
"MA1","6g","MA1_6g",0.1875,72
"RS1","6a","RS1_6a",0.25,73
"RE4","6i","RE4_6i",0.125,74
"RS2","6e","RS2_6e",6910.8125,75
"RE2","6e","RE2_6e",7454.8125,76
"RE1","6e","RE1_6e",209.75,77
"RE3","6e","RE3_6e",1184.625,78
"MS4","6s","MS4_6s",0.125,79
"MS2","6e","MS2_6e",1448.375,80
"MA1","6s","MA1_6s",0.0625,81
"RS1","6j","RS1_6j",0.25,82
"RE2","6h","RE2_6h",3155.5625,83
"RE1","6h","RE1_6h",174.125,84
"RE3","6h","RE3_6h",292.4375,85
"RS2","6h","RS2_6h",13318.5,86
"MS2","6h","MS2_6h",1353.0625,87
"RE2","6c","RE2_6c",6534.0625,88
"RS2","6c","RS2_6c",4063.9375,89
"RE1","6c","RE1_6c",125.0625,90
"RE3","6c","RE3_6c",2695.3125,91
"LA2","6h","LA2_6h",0.25,92
"MS2","6c","MS2_6c",398.6875,93
"MA1","6f","MA1_6f",0.0625,94
"RS2","6m","RS2_6m",114.9375,95
"MS2","6m","MS2_6m",50,96
"MS4","6j","MS4_6j",0.4375,97
"RE4","6e","RE4_6e",0.125,98
"MA1","6a","MA1_6a",1,99
"MA1","6j","MA1_6j",0.125,100
"RE3","6m","RE3_6m",2.0625,101
"MS7","6m","MS7_6m",0.1875,102
"MS2","5g","MS2_5g",2880.625,103
"RS2","5g","RS2_5g",5713.3125,104
"MS3","6m","MS3_6m",0.0625,105
"RE2","5g","RE2_5g",834.375,106
"RE3","5g","RE3_5g",127.0625,107
