"simID","areaName","scenario","mgmtScenario","mgmtScenarioName","replicate","Time","species","BioToFPS_tonnesCTotal","areaManagedTotal_ha","areaHarvestedTotal_ha"
"0","boreal-5a","baseline","generic","generic",1,1,"ACER.RUB",1.57,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"ABIE.BAL",896.8,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"PICE.MAR",8253.57,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"BETU.PAP",761.68,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"LARI.LAR",137.07,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"PICE.GLA",945.47,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"PICE.RUB",10.71,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"PINU.BAN",2934.16,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,1,"POPU.TRE",4357.2,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"ABIE.BAL",1569.25,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"PICE.GLA",225.9,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"PICE.MAR",9797.36,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"PINU.BAN",2309.95,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"POPU.TRE",1678.34,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"LARI.LAR",114.01,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"ACER.RUB",3.18,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,2,"BETU.PAP",508.14,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,3,"BETU.PAP",387.36,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"ABIE.BAL",966.18,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"PINU.BAN",1398.6,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"LARI.LAR",279.64,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"PICE.GLA",1308.32,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"PICE.MAR",6335.57,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,3,"POPU.TRE",2542.77,29756.25,912.5
"0","boreal-5a","baseline","generic","generic",1,4,"LARI.LAR",33.65,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,4,"PICE.GLA",172.76,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,4,"PICE.MAR",3849.4,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,4,"POPU.TRE",2541.83,29756.25,906.25
"0","boreal-5a","baseline","generic","generic",1,4,"BETU.PAP",374.54,29756.25,906.25
