"simID","areaName","scenario","mgmt","cropped","spinup","includeSnags","harvest","wind","BDA","fire","ND_scenario","replicate"
"00","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",1
"01","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",1
"02","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",1
"03","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",1
"04","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",1
"05","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",1
"06","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",1
"07","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",1
"08","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",1
"09","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",2
"10","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",2
"11","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",2
"12","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",2
"13","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",2
"14","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",2
"15","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",2
"16","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",2
"17","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",2
"18","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",3
"19","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",3
"20","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Wind",3
"21","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",3
"22","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",3
"23","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Wind_Sbw",3
"24","mixedwood-042-51","baseline","baseline",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",3
"25","mixedwood-042-51","baseline","baseline_50p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",3
"26","mixedwood-042-51","baseline","baseline_75p",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Wind_Sbw_Fire",3
